Horizon,Mean_Double_Draft_DCI,Mean_Single_Draft_DCI
Year 1,0.0037453379845761438,0.0013081735901865781
Year 2,0.004340239614978404,0.002503415648913863
Year 3,0.010321911666218713,-0.00047651201965829177
Year 4,0.009105617776670509,-0.0004033757944221023
Year 5,0.002181965139675861,-0.0002494669322332802
