grp,Mean_Bust_Rate,Std_Bust_Rate,Num_Teams
double,0.18181818181818182,0.32897584747988445,22
single,0.1062992125984252,0.29966860836705084,127
zero,0.13043478260869565,0.34435022157509093,23
