k,diff_mean,ci_lower,ci_upper
1,0.002437164394389561,-0.007820840807612021,0.013032189553226364
2,0.0018368239660645417,-0.008335275274639115,0.012859175727755245
3,0.011823395949913499,0.0010638505976872242,0.02480857508157411
4,0.010476114038873972,0.0025577361197656567,0.021588316033571277
5,0.0027585485476254545,6.762730764753804e-05,0.005871090921206818
