draft_year,team,p0,p2,ewii,snap_share,n_players,snap_share_smoothed,grp,DCI
2013,ARI,0.8709677419354839,0.3225806451612903,-0.3468709438421116,0.06755725190839695,1.0,0.06411571353434277,single,-0.022239878068767923
2013,ATL,0.2580645161290322,0.0,-0.22957444164450025,0.16240131864318555,2.0,0.12849227081555323,double,-0.029498541328114546
2013,BAL,0.4838709677419355,0.5161290322580645,0.021506205220963463,,,0.0,single,0.0
2013,BUF,0.5161290322580645,1.0,0.2769867833350329,,,0.0,zero,0.0
2013,CAR,0.6129032258064516,0.6451612903225806,0.01980262729617973,,,0.0,zero,0.0
2013,CHI,0.935483870967742,0.032258064516129,-0.6286086594223742,,,0.0,zero,-0.0
2013,CIN,0.6774193548387097,0.6774193548387097,0.0,0.04102926178708716,1.0,0.05085171847368787,zero,0.0
2013,CLE,0.6451612903225806,0.8064516129032258,0.09352605801082355,,,0.0,double,0.0
2013,DAL,0.1290322580645161,0.3870967741935484,0.20585205420414898,0.07086275185121405,1.0,0.06576846350575132,zero,0.013538573314509514
2013,DEN,0.9032258064516128,0.967741935483871,0.033336420267591926,0.006258596973865199,1.0,0.03346638606707689,single,0.0011156495107695582
2013,DET,0.4516129032258065,0.7419354838709677,0.1823215567939546,0.08647990255785627,1.0,0.07357703885907244,single,0.013414680269075378
2013,GB,0.8387096774193549,0.7741935483870968,-0.03571808260207934,,,0.0,zero,-0.0
2013,HOU,0.7096774193548387,0.8709677419354839,0.09015109699429748,,,0.0,single,0.0
2013,IND,0.3225806451612903,0.6129032258064516,0.19845093872383823,,,0.0,zero,0.0
2013,JAX,0.2903225806451612,0.1290322580645161,-0.13353139262452274,0.11481944661560106,2.0,0.09677102279716358,double,-0.012921969439804691
2013,KC,0.032258064516129,0.9032258064516128,0.6118015411059929,,,0.0,zero,0.0
2013,LA,0.8064516129032258,0.3548387096774194,-0.2876820724517808,,,0.0,zero,-0.0
2013,LAC,0.5806451612903225,0.4516129032258065,-0.08515780834030683,,,0.0,zero,-0.0
2013,LV,0.0967741935483871,0.0967741935483871,0.0,0.07118590503278818,1.0,0.06593004009653838,zero,0.0
2013,MIA,0.3870967741935484,0.7096774193548387,0.2090917978585594,0.056182435098240356,2.0,0.05767968178558977,single,0.012060348364458566
2013,MIN,0.5483870967741935,0.5483870967741935,0.0,0.08624708624708624,1.0,0.07346063070368741,single,0.0
2013,NE,0.1612903225806451,0.5806451612903225,0.30830135965451666,,,0.0,single,0.0
2013,NO,0.0,0.1935483870967742,0.17693070815907824,,,0.0,single,0.0
2013,NYG,0.2258064516129032,0.2903225806451612,0.05129329438755048,,,0.0,zero,0.0
2013,NYJ,0.7419354838709677,0.4193548387096774,-0.20479441264601314,0.0,1.0,0.030337087580144296,single,-0.006212866032366311
2013,PHI,0.1935483870967742,0.2258064516129032,0.026668247082161273,,,0.0,zero,0.0
2013,PIT,1.0,0.1612903225806451,-0.5436154465889816,,,0.0,zero,-0.0
2013,SEA,0.967741935483871,0.935483870967742,-0.016529301951210582,,,0.0,zero,-0.0
2013,SF,0.7741935483870968,0.8387096774193549,0.035718082602079246,,,0.0,single,0.0
2013,TB,0.0645161290322581,0.2580645161290322,0.16705408466316624,,,0.0,single,0.0
2013,TEN,0.3548387096774194,0.4838709677419355,0.09097177820572659,0.025276052449965492,1.0,0.042975113805127044,single,0.003909522521445876
2013,WAS,0.4193548387096774,0.0645161290322581,-0.28768207245178107,0.0006419000240712509,1.0,0.030658037592179922,double,-0.008819767791822933
2014,ARI,0.9032258064516128,0.6451612903225806,-0.14571181118139365,0.06919302994417188,1.0,0.06251142258165349,single,-0.0091086526038982
2014,ATL,0.0967741935483871,0.4838709677419355,0.3022808718729337,,,0.0,single,0.0
2014,BAL,0.6451612903225806,0.4516129032258065,-0.1251631429540059,,,0.0,single,-0.0
2014,BUF,0.935483870967742,0.5161290322580645,-0.2441969605120421,,,0.0,zero,-0.0
2014,CAR,0.7741935483870968,0.967741935483871,0.10354067894084036,,,0.0,zero,0.0
2014,CHI,0.2258064516129032,0.3225806451612903,0.07598590697792205,,,0.0,single,0.0
2014,CIN,0.967741935483871,0.935483870967742,-0.016529301951210582,0.027933428117420757,1.0,0.04188162166827793,single,-0.0006922739707613297
2014,CLE,0.8709677419354839,0.0645161290322581,-0.5639354490799392,,,0.0,single,-0.0
2014,DAL,0.0,0.1612903225806451,0.14953173397096364,,,0.0,zero,0.0
2014,DEN,0.3870967741935484,0.9032258064516128,0.3163373282121569,0.05448210326259107,1.0,0.055155959240863084,single,0.017447888781233253
2014,DET,0.5161290322580645,0.1290322580645161,-0.294799540220645,,,0.0,zero,-0.0
2014,GB,0.1935483870967742,0.8064516129032258,0.4144337780909247,,,0.0,single,0.0
2014,HOU,0.6129032258064516,0.8709677419354839,0.1484200051182734,,,0.0,zero,0.0
2014,IND,0.3225806451612903,0.3548387096774194,0.02409755157906074,,,0.0,zero,0.0
2014,JAX,0.0645161290322581,0.2903225806451612,0.1923718926474561,,,0.0,zero,0.0
2014,KC,0.4838709677419355,1.0,0.29849298855599654,,,0.0,single,0.0
2014,LA,0.2903225806451612,0.5483870967741935,0.1823215567939546,,,0.0,zero,0.0
2014,LAC,0.1612903225806451,0.1935483870967742,0.02739897418811456,,,0.0,zero,0.0
2014,LV,0.032258064516129,0.6129032258064516,0.44628710262841953,,,0.0,zero,0.0
2014,MIA,0.6774193548387097,0.2258064516129032,-0.31365755885504165,,,0.0,zero,-0.0
2014,MIN,0.2580645161290322,0.7096774193548387,0.30673026742247544,,,0.0,zero,0.0
