team,draft_year,k,ewii_k,snap_share_k,dci_k,grp
MIN,2016,1,0.12405264866997882,0.030864694979450397,0.0038288471625918196,single
NE,2016,1,0.0377403279828469,0.0,0.0,single
ARI,2016,1,0.14571181118139379,8.583690987124464e-05,1.2507451603553116e-05,single
PHI,2016,1,-0.1541506798272581,0.0,-0.0,zero
LA,2016,1,0.09909090264423097,0.0,0.0,zero
BUF,2016,1,0.0,0.0,0.0,zero
ATL,2016,1,0.083381608939051,0.09033694067081127,0.007532439459763837,single
BAL,2016,1,0.20067069546215105,0.0,0.0,zero
TEN,2016,1,0.0,0.0906935388263189,0.0,zero
TB,2016,1,-0.09763846956391606,0.0,-0.0,single
IND,2016,1,-0.1541506798272585,0.032018247866858154,-0.004935634675553854,single
CHI,2016,1,0.0,0.0,0.0,zero
JAX,2016,1,0.3364722366212129,0.08787065902994272,0.029566037177184805,single
WAS,2016,1,0.025317807984289786,0.059721300597213006,0.0015120124210922898,single
MIA,2016,1,0.3136575588550416,0.08839634941329856,0.027726183168672515,single
LAC,2016,1,0.26028309826366636,0.0,0.0,zero
DAL,2016,1,0.22314355131420993,0.0,0.0,zero
DET,2016,1,-0.05884050002293335,0.0,-0.0,zero
NYG,2016,1,0.36545977349446523,0.1413016580054442,0.051640071929062024,double
CLE,2016,1,0.02985296314968113,0.0,0.0,zero
SF,2016,1,-0.0317486983145803,0.0,-0.0,single
NO,2016,1,0.12136085700426734,0.0,0.0,single
DEN,2017,1,-0.3429447511268303,0.0,-0.0,zero
HOU,2017,1,-0.5555258026838976,0.0,-0.0,zero
MIN,2017,1,0.0,0.0,0.0,zero
ARI,2017,1,-0.05218575317057019,0.07647778230737871,-0.003991050670525465,single
CIN,2017,1,-0.053109825313948526,0.0,-0.0,zero
KC,2017,1,-0.2818511521409877,0.0,-0.0,zero
JAX,2017,1,0.10178269430994238,0.0,0.0,zero
BAL,2017,1,0.07020425867324856,0.06491588018054986,0.004557371244196932,single
NE,2017,1,-0.2754119798599667,0.0,-0.0,zero
LA,2017,1,0.018692133012152546,0.0,0.0,single
MIA,2017,1,-0.34032580593720285,0.0024209032473495283,-0.0008238958487502198,single
PIT,2017,1,0.0,0.02090046155185927,0.0,single
ATL,2017,1,-0.08338160893905101,0.0,-0.0,zero
NYG,2017,1,-0.25423413838424075,0.0,-0.0,zero
LAC,2017,1,0.23967285326542043,0.0,0.0,zero
BUF,2017,1,0.10109611687136881,0.08606006275212909,0.008700338161946576,single
CAR,2017,1,-0.09097177820572663,0.0,-0.0,zero
DAL,2017,1,0.08515780834030677,0.09507733375206093,0.008096577365165385,double
TEN,2017,1,0.1861022796338607,0.08317399617590822,0.015478870294594532,single
SEA,2017,1,0.2992428948528569,0.11393484564216272,0.03409419303457418,single
PHI,2017,1,0.3053816495511819,0.07579612923124374,0.02314674697423177,double
CHI,2017,1,0.19845093872383823,0.0,0.0,single
WAS,2017,1,0.1823215567939546,0.07393064601302587,0.01347915047587765,single
TB,2017,1,-0.19782574332991992,0.0,-0.0,single
GB,2017,1,-0.1112256351102245,0.0,-0.0,double
NYJ,2017,1,0.05264373348542188,0.1227471992206527,0.0064618708418540255,double
IND,2017,1,-0.14953173397096356,0.11625801584307809,-0.01738426269703922,double
NO,2017,1,0.25131442828090617,0.0,0.0,double
CLE,2017,1,0.05715841383994862,0.059014367372161286,0.003373167632760756,single
DET,2017,1,0.3536400402435784,0.025336281555187027,0.008959923628798975,single
SF,2017,1,0.25489224962879004,0.0,0.0,single
JAX,2018,1,-0.04959694113937218,0.07199032062915911,-0.0035704996948489353,single
LAC,2018,1,-0.17904823144898557,0.02799363355491059,-0.00501221057983772,single
MIN,2018,1,-0.03390155167568134,0.03727496825278255,-0.001263679262431089,single
BAL,2018,1,0.016807118316381407,0.0,0.0,zero
SEA,2018,1,-0.3715635564324831,0.0,-0.0,zero
PHI,2018,1,-0.4321333551903257,0.0,-0.0,single
ARI,2018,1,0.017699577099401075,0.0,0.0,zero
CIN,2018,1,-0.5108256237659907,0.08989050165520754,-0.04591837157865921,single
LA,2018,1,-0.25131442828090594,0.0,-0.0,zero
TEN,2018,1,0.037041271680349076,0.0,0.0,single
BUF,2018,1,0.15963014559188393,0.0,0.0,zero
PIT,2018,1,0.01941808585710173,0.0871393725292287,0.001692079817306535,single
CHI,2018,1,0.2151113796169455,0.0,0.0,zero
DAL,2018,1,-0.06317890162153156,0.0,-0.0,zero
WAS,2018,1,0.02061928720273561,0.0,0.0,zero
DET,2018,1,-0.1865859555804122,0.06698982835346472,-0.012499361137499004,single
ATL,2018,1,0.021506205220963463,0.08104563734918692,0.0017429841090953952,single
NO,2018,1,-0.22314355131421,0.0,-0.0,zero
DEN,2018,1,0.022472855852058576,0.04339216530348687,0.000975145875973958,zero
KC,2018,1,0.11000089521432849,0.0,0.0,zero
CAR,2018,1,-0.10008345855698265,0.061219451987163664,-0.006127054485838484,double
NE,2018,1,0.25671984684781407,0.0,0.0,single
SF,2018,1,0.07232066157962629,0.0,0.0,zero
NYJ,2018,1,0.12062798778861472,0.0,0.0,zero
NYG,2018,1,-0.08223809823697223,0.0,-0.0,zero
MIA,2018,1,-0.08455738802806312,0.009457035708462416,-0.0007996622379957053,single
CLE,2018,1,0.4418327522790394,0.06372465496677458,0.02815563969200217,single
HOU,2018,1,0.3566749439387324,0.07902170680939637,0.028185062846184397,single
GB,2018,1,0.18721154208814636,0.0,0.0,double
TB,2018,1,0.0,0.0,0.0,single
IND,2018,1,0.5549968420791281,0.0,0.0,zero
CHI,2019,1,-0.13815033848081718,0.0,-0.0,single
BUF,2019,1,-0.033336420267591836,0.0,-0.0,zero
BAL,2019,1,-0.03390155167568134,0.0,-0.0,zero
JAX,2019,1,-0.413975797776073,0.007219923744625619,-0.002988873692063803,zero
MIN,2019,1,-0.053109825313948526,0.0,-0.0,zero
ARI,2019,1,-0.6090640633494041,0.06517461878996557,-0.03969551814746485,single
CLE,2019,1,-0.11332868530700324,0.0,-0.0,double
TEN,2019,1,-0.15718558352241238,0.0,-0.0,zero
IND,2019,1,-0.2754119798599667,0.045829514207149404,-0.012621997243811488,single
NE,2019,1,0.15684247149296968,0.0,0.0,single
PIT,2019,1,0.14310084364067324,0.009705516383243467,0.0013888675824105159,single
LAC,2019,1,-0.19415601444095723,0.07775927062330149,-0.015097430070056024,single
HOU,2019,1,-0.3011050927839215,0.057689151485311015,-0.017370497310610276,single
WAS,2019,1,-0.2029408439966903,0.0,-0.0,zero
KC,2019,1,0.15415067982725836,0.0,0.0,single
ATL,2019,1,-0.21256144198367274,0.0,-0.0,single
DAL,2019,1,0.0,0.0,0.0,zero
DEN,2019,1,0.0,0.0,0.0,zero
NYJ,2019,1,0.14763599880606448,0.0,0.0,zero
SF,2019,1,0.34967374847974875,0.0,0.0,zero
LA,2019,1,0.3053816495511819,0.0,0.0,double
GB,2019,1,0.15762894420358306,0.0,0.0,single
SEA,2019,1,0.07232066157962629,0.004684014869888476,0.0003387510542391417,single
DET,2019,1,-0.10821358464023284,0.02524067632068603,-0.0027313840634052783,single
CAR,2019,1,0.25423413838424086,0.0,0.0,zero
PHI,2019,1,0.17327172127403678,0.0,0.0,zero
NO,2019,1,0.38677297509601205,0.0,0.0,double
NYG,2019,1,0.028170876966696224,0.0,0.0,single
MIA,2019,1,0.0,0.0,0.0,zero
CIN,2019,1,-0.03077165866675366,0.0,-0.0,zero
TB,2019,1,0.4855078157817008,0.0,0.0,double
LV,2019,1,0.06252035698133393,0.0,0.0,zero
NE,2020,1,-0.32047189527477177,0.0,-0.0,single
SF,2020,1,-0.10354067894084033,0.0,-0.0,zero
PIT,2020,1,0.016529301951210506,0.0,0.0,zero
BUF,2020,1,-0.10724553035359756,0.0,-0.0,zero
BAL,2020,1,0.01709443335930004,0.0,0.0,zero
LA,2020,1,0.08408311721054125,0.0,0.0,zero
KC,2020,1,-0.11332868530700324,0.0,-0.0,zero
MIN,2020,1,-0.45198512374305727,0.05162941220742079,-0.023335726265352397,single
CHI,2020,1,-0.1388364448542158,0.08017530291312194,-0.011131254021567703,single
NO,2020,1,0.09015109699429748,0.0,0.0,zero
TB,2020,1,0.09180754925312289,0.0,0.0,single
NYJ,2020,1,-0.3209077200801012,0.05699877750611247,-0.01829134773683951,single
CLE,2020,1,-0.04082199452025505,0.04862012987012987,-0.0019847706751325305,single
CAR,2020,1,-0.10763066419236533,0.08497660427807487,-0.009146088359260991,single
GB,2020,1,0.15415067982725836,0.0,0.0,zero
TEN,2020,1,-0.08894748601649606,0.06286790675771133,-0.005591942257217907,single
DAL,2020,1,-0.09097177820572663,0.08073929961089495,-0.007344997656688046,single
DEN,2020,1,-0.11778303565638351,0.007089241034195163,-0.000834992329507306,single
PHI,2020,1,-0.12062798778861475,0.0,-0.0,zero
SEA,2020,1,0.13062018241706402,0.0,0.0,zero
LAC,2020,1,0.1941560144409572,0.0,0.0,zero
IND,2020,1,0.11506932978478729,0.031330722439796684,0.0036052052328206,single
WAS,2020,1,0.4054651081081644,0.0,0.0,zero
JAX,2020,1,-0.19782574332991992,0.008861174926156876,-0.0017529685165434323,single
ATL,2020,1,-0.14107859825990562,0.07956487956487956,-0.01122490167973142,single
HOU,2020,1,-0.08455738802806312,0.0,-0.0,zero
NYG,2020,1,0.3677247801253175,0.08811634779903561,0.03240256461984638,single
DET,2020,1,-0.12136085700426735,0.0038247011952191236,-0.0004641690148370385,single
MIA,2020,1,0.18721154208814636,0.05838649761770169,0.010930626256135818,single
LV,2020,1,0.1410785982599056,0.0,0.0,single
CIN,2020,1,0.11778303565638346,0.0,0.0,zero
ARI,2020,1,0.5549968420791281,0.0,0.0,zero
LA,2021,1,-0.10178269430994236,0.0,-0.0,zero
PIT,2021,1,-0.21905356606268464,0.0,-0.0,zero
WAS,2021,1,-0.5108256237659909,0.05704581083434942,-0.029140461902693267,single
BAL,2021,1,-0.6118015411059929,0.03576504026527712,-0.02188110675201443,zero
NO,2021,1,-0.07145896398214498,0.0,-0.0,single
TB,2021,1,0.01739174271186924,0.0,0.0,zero
GB,2021,1,0.06899287148695142,0.0,0.0,single
SF,2021,1,-0.24613306953890846,0.0,-0.0,zero
ARI,2021,1,-0.1823215567939546,0.0,-0.0,single
BUF,2021,1,0.15684247149296968,0.0,0.0,zero
NYG,2021,1,0.09180754925312289,0.005203816131830009,0.0004777496058271789,single
LAC,2021,1,-0.21825356602001794,0.08505448040331762,-0.018563443654003805,single
KC,2021,1,-0.2231435513142097,0.0,-0.0,zero
SEA,2021,1,-0.25423413838424075,0.0,-0.0,single
CLE,2021,1,0.2063364329978284,0.07570319672815291,0.015620327579419944,single
CHI,2021,1,-0.1865859555804122,0.0,-0.0,zero
IND,2021,1,0.14165051706302684,0.0,0.0,zero
NE,2021,1,0.30421137440299156,0.0,0.0,zero
CAR,2021,1,0.06595796779179737,0.06385655866624725,0.004211848839803355,single
TEN,2021,1,0.06744128079553248,0.014399128268991283,0.0009710956527999307,single
DAL,2021,1,0.26966356694910243,0.020644617653254687,0.005567101234677067,single
MIA,2021,1,0.15762894420358306,0.08976942019252294,0.014150258926715202,single
DEN,2021,1,0.26236426446749106,0.08789636811571168,0.02306086597004253,single
PHI,2021,1,0.2682639865946792,0.0,0.0,zero
LV,2021,1,0.2744368457017602,0.0,0.0,single
NYJ,2021,1,-0.17693070815907821,0.0,-0.0,zero
CIN,2021,1,0.15415067982725855,0.0,0.0,zero
MIN,2021,1,0.22884157242884764,0.0,0.0,zero
HOU,2021,1,0.028987536873252187,0.0,0.0,zero
ATL,2021,1,0.11441035117774431,0.09051863857374393,0.010356269227353354,single
JAX,2021,1,0.06062462181643484,0.14312522555034285,0.008676912671381471,single
DET,2021,1,0.06252035698133393,0.00784313725490196,0.00049035574103007,zero
BUF,2022,1,-0.06669137449867216,0.01600796568627451,-0.0010675932345452267,single
NE,2022,1,-0.06782259633876106,0.0,-0.0,single
GB,2022,1,-0.456758402495715,0.0,-0.0,zero
CLE,2022,1,-0.18571714579509283,0.07414090051668991,-0.013769236430637573,single
TB,2022,1,-0.10919929196499197,0.0,-0.0,zero
NYG,2022,1,-0.1929036661244917,0.04174725983236621,-0.008053199472315175,zero
LA,2022,1,-0.19671029424605413,0.0,-0.0,single
DAL,2022,1,0.07020425867324856,0.0,0.0,zero
NO,2022,1,0.10536051565782635,0.0,0.0,single
IND,2022,1,-0.2567198468478141,0.022660251435666613,-0.005817336278097293,zero
DEN,2022,1,0.07410797215372183,0.0,0.0,single
PHI,2022,1,0.1953087523207659,0.0,0.0,zero
LV,2022,1,-0.4462871026284195,0.0,-0.0,zero
PIT,2022,1,-0.13062018241706408,0.0,-0.0,zero
MIA,2022,1,-0.1335313926245225,0.0,-0.0,zero
CAR,2022,1,-0.2392296890658341,0.0,-0.0,zero
TEN,2022,1,-0.2451224580329851,0.0737873281719071,-0.018086931253184398,single
ARI,2022,1,0.06453852113757116,0.0,0.0,zero
MIN,2022,1,-0.22884157242884767,0.012816379171368693,-0.0029329203624203436,double
SF,2022,1,0.24613306953890837,0.0,0.0,zero
CIN,2022,1,0.04652001563489291,0.14468014584023864,0.006730522646546487,double
LAC,2022,1,0.19845093872383823,0.0,0.0,zero
KC,2022,1,0.30010459245033816,0.0,0.0,single
CHI,2022,1,-0.22957444164450025,0.05493101686254471,-0.01261075752518333,single
SEA,2022,1,0.025975486403260736,0.0,0.0,zero
ATL,2022,1,-0.08455738802806312,0.0,-0.0,zero
WAS,2022,1,0.38677297509601205,0.0,0.0,zero
HOU,2022,1,0.13353139262452277,0.05778251599147122,0.007715779829689909,single
JAX,2022,1,0.2803019651541585,0.0,0.0,zero
DET,2022,1,0.0,0.07421875,0.0,zero
BAL,2022,1,0.46608972992459924,0.0,0.0,zero
NYJ,2022,1,0.676886659688165,0.08403294155273047,0.05688077711139853,single
PIT,2013,2,-0.5436154465889816,0.0,-0.0,zero
SEA,2013,2,-0.016529301951210582,0.0,-0.0,zero
CHI,2013,2,-0.6286086594223742,0.0,-0.0,zero
DEN,2013,2,0.033336420267591926,0.006258596973865199,0.00020863921900624933,single
ARI,2013,2,-0.3468709438421116,0.06755725190839694,-0.02343364773284494,single
GB,2013,2,-0.03571808260207934,0.0,-0.0,zero
SF,2013,2,0.035718082602079246,0.0,0.0,single
NYJ,2013,2,-0.20479441264601314,0.0,-0.0,single
HOU,2013,2,0.09015109699429748,0.0,0.0,single
CIN,2013,2,0.0,0.04102926178708716,0.0,zero
CLE,2013,2,0.09352605801082355,0.0,0.0,double
CAR,2013,2,0.01980262729617973,0.0,0.0,zero
MIN,2013,2,0.0,0.08624708624708624,0.0,single
BUF,2013,2,0.2769867833350329,0.0,0.0,zero
BAL,2013,2,0.021506205220963463,0.0,0.0,single
DET,2013,2,0.1823215567939546,0.08647990255785627,0.01576715046573785,single
WAS,2013,2,-0.28768207245178107,0.0006419000240712509,-0.0001846631292316656,double
MIA,2013,2,0.2090917978585594,0.056182435098240356,0.011747286362762904,single
TEN,2013,2,0.09097177820572659,0.025276052449965492,0.002299407437394573,single
IND,2013,2,0.19845093872383823,0.0,0.0,zero
JAX,2013,2,-0.13353139262452274,0.11481944661560106,-0.015332000606958255,double
ATL,2013,2,-0.22957444164450025,0.16240131864318558,-0.037283192049839896,double
NYG,2013,2,0.05129329438755048,0.0,0.0,zero
PHI,2013,2,0.026668247082161273,0.0,0.0,zero
NE,2013,2,0.30830135965451666,0.0,0.0,single
DAL,2013,2,0.20585205420414898,0.07086275185121405,0.014587243035131273,zero
TB,2013,2,0.16705408466316624,0.0,0.0,single
KC,2013,2,0.6118015411059929,0.0,0.0,zero
NO,2013,2,0.17693070815907824,0.0,0.0,single
SEA,2014,2,-0.08408311721054132,0.0,-0.0,zero
CIN,2014,2,-0.016529301951210582,0.027933428117420757,-0.00046172006788528343,single
BUF,2014,2,-0.2441969605120421,0.0,-0.0,zero
ARI,2014,2,-0.14571181118139365,0.06919302994417188,-0.01008224171429369,single
CLE,2014,2,-0.5639354490799392,0.0,-0.0,single
NYG,2014,2,-0.516690743218389,0.0,-0.0,zero
SF,2014,2,-0.5596157879354228,0.0,-0.0,single
CAR,2014,2,0.10354067894084036,0.0,0.0,zero
NO,2014,2,-0.5549968420791281,0.0,-0.0,single
PIT,2014,2,0.018692133012152546,0.0,0.0,zero
MIA,2014,2,-0.31365755885504165,0.0,-0.0,zero
BAL,2014,2,-0.1251631429540059,0.0,-0.0,single
HOU,2014,2,0.1484200051182734,0.0,0.0,zero
TB,2014,2,-0.13062018241706408,0.0,-0.0,zero
NE,2014,2,0.08004270767353656,0.0,0.0,zero
DET,2014,2,-0.294799540220645,0.0,-0.0,zero
KC,2014,2,0.29849298855599654,0.0,0.0,single
NYJ,2014,2,0.20067069546215105,0.0717106995523567,0.014390235951248784,double
TEN,2014,2,0.0,0.0,0.0,zero
DEN,2014,2,0.3163373282121569,0.05448210326259107,0.017234722981466895,single
PHI,2014,2,0.15415067982725816,0.0,0.0,zero
IND,2014,2,0.02409755157906074,0.0,0.0,zero
LA,2014,2,0.1823215567939546,0.0,0.0,zero
MIN,2014,2,0.30673026742247544,0.0,0.0,zero
CHI,2014,2,0.07598590697792205,0.0,0.0,single
GB,2014,2,0.4144337780909247,0.0,0.0,single
WAS,2014,2,0.10821358464023279,0.0,0.0,zero
ATL,2014,2,0.3022808718729337,0.0,0.0,single
JAX,2014,2,0.1923718926474561,0.0,0.0,zero
DAL,2014,2,0.14953173397096364,0.0,0.0,zero
BUF,2015,2,-0.27698678333503296,0.0,-0.0,single
DEN,2015,2,0.016260520871780326,0.0,0.0,zero
SEA,2015,2,-0.33314444652853825,0.0,-0.0,zero
KC,2015,2,-0.0344861760711692,0.0,-0.0,single
HOU,2015,2,0.050430853626891904,0.0514118273841236,0.00259274234149977,single
SF,2015,2,-0.6090640633494041,0.0,-0.0,single
CLE,2015,2,-0.4989911661189879,0.0,-0.0,zero
GB,2015,2,-0.3697470255060851,0.0,-0.0,double
DET,2015,2,-0.49247648509779424,0.0,-0.0,single
MIA,2015,2,-0.019048194970694474,0.0,-0.0,zero
CIN,2015,2,0.109199291964992,0.0,0.0,zero
CAR,2015,2,-0.10318423623523063,0.0,-0.0,zero
IND,2015,2,-0.3285040669720361,0.0,-0.0,single
NE,2015,2,0.09716374845364788,0.0,0.0,single
MIN,2015,2,0.22314355131420976,0.08397131114513659,0.01873765657743626,single
BAL,2015,2,0.15718558352241235,0.0,0.0,zero
TEN,2015,2,-0.04445176257083381,0.0,-0.0,zero
LAC,2015,2,0.06453852113757116,0.0,0.0,zero
NYJ,2015,2,-0.17327172127403667,0.0,-0.0,zero
DAL,2015,2,0.0454623740767572,0.07917174177831912,0.00359933534103437,single
LA,2015,2,0.2326222952687535,0.0,0.0,zero
ARI,2015,2,0.3639653772014116,0.0,0.0,zero
NYG,2015,2,0.20294084399669038,0.07481646457147571,0.015183316464983766,single
TB,2015,2,0.0,0.0,0.0,zero
PHI,2015,2,0.10008345855698263,0.0,0.0,single
NO,2015,2,-0.05556985115481088,0.0,-0.0,zero
PIT,2015,2,0.3483066942682158,0.0,0.0,single
JAX,2015,2,0.47000362924573563,0.0,0.0,zero
WAS,2015,2,0.1923718926474561,0.0,0.0,zero
CHI,2015,2,0.24783616390458127,0.0,0.0,zero
ATL,2015,2,0.47803580094299974,0.0,0.0,single
KC,2016,2,-0.36593426935152906,0.0,-0.0,single
CAR,2016,2,-0.3732042458899428,0.09054436035378864,-0.033791539725422925,double
CIN,2016,2,-0.08701137698962981,0.08559465335373219,-0.007447708651258273,single
DEN,2016,2,-0.29334780998745813,0.09088607594936708,-0.026661231338100624,single
HOU,2016,2,-0.5050949490570059,0.0,-0.0,zero
SEA,2016,2,0.01739174271186924,0.0,0.0,zero
GB,2016,2,-0.4989911661189879,0.0,-0.0,zero
NYJ,2016,2,-0.3437715391028245,0.0,-0.0,zero
PIT,2016,2,-0.05715841383994864,0.11207872507184534,-0.006406242150310363,double
MIN,2016,2,0.12405264866997882,0.04943564616326888,0.006132622845265381,single
NE,2016,2,-0.23767165187711958,0.0,-0.0,single
ARI,2016,2,0.09352605801082355,0.006930289441500204,0.0006481626523375459,single
PHI,2016,2,0.1512309697239237,0.0,0.0,zero
LA,2016,2,0.11778303565638346,0.0,0.0,zero
BUF,2016,2,0.10109611687136881,0.0,0.0,zero
ATL,2016,2,0.0,0.0030802530802530805,0.0,single
BAL,2016,2,0.2708749541353995,0.0,0.0,zero
TEN,2016,2,0.1861022796338607,0.09064835737875891,0.01686986595325193,zero
TB,2016,2,-0.29546421289383606,0.0,-0.0,single
IND,2016,2,-0.30368241379822214,0.0,-0.0,single
CHI,2016,2,0.19845093872383823,0.0,0.0,zero
JAX,2016,2,0.4382549309311553,0.09046519886363637,0.03964681947965618,single
WAS,2016,2,0.20763936477824455,0.0,0.0,single
MIA,2016,2,-0.026668247082161294,0.06703397612488522,-0.0017876786381981402,single
LAC,2016,2,0.49995595152908684,0.0,0.0,zero
DAL,2016,2,0.30830135965451666,0.0,0.0,zero
DET,2016,2,0.294799540220645,0.0,0.0,zero
NYG,2016,2,0.1112256351102244,0.024531742085198077,0.0027285585937863767,double
CLE,2016,2,0.08701137698962969,0.0,0.0,zero
SF,2016,2,0.22314355131420976,0.0,0.0,single
NO,2016,2,0.3726752852851735,0.0,0.0,single
DEN,2017,2,-0.32047189527477177,0.0,-0.0,zero
HOU,2017,2,-0.1988508587451653,0.0,-0.0,zero
