covariate,coef,HR,se(coef),z,p,HR_lower95,HR_upper95
round,0.4578,1.5806,0.0622,7.3619,0.0,1.3992,1.7854
pos_OL,-0.2231,0.8001,0.1668,-1.3372,0.1811,0.5769,1.1095
pos_DL,0.1588,1.1721,0.1468,1.0816,0.2794,0.879,1.563
