Horizon,Mean_Double_Draft_DCI,Mean_Single_Draft_DCI,diff_mean,ci_lower,ci_upper
Year 1,0.003745337984576143,0.001308173590186582,0.002437164394389561,-0.007359132870429617,0.012603719517786214
Year 2,0.004340239614978409,0.0025034156489138677,0.0018368239660645417,-0.008657789643129124,0.01245830035711027
Year 3,0.011304950872525274,-0.0005184450773882258,0.011823395949913499,0.0015100822652290864,0.025187564725270967
Year 4,0.00997281946968676,-0.0005032945691872102,0.010476114038873972,0.002720187710106467,0.020211930929684138
Year 5,0.0023897713434545193,-0.0003687772041709353,0.0027585485476254545,6.806002190415288e-05,0.006139891438672928
