group,mean,CI_low,CI_high,n
double,-0.01612903225806451,-0.1489143920595533,0.12906327543424315,26
single,0.019082235347569282,-0.034558155383916406,0.07067242162653337,142
zero,-0.012447405329593259,-0.060133239831697056,0.03647002103786817,184
