grp,avg_improvement,std,count,ci95_halfwidth
double,-0.035557477702155296,0.27377484510080463,72,0.06323876283309804
single,0.006032507910628171,0.27092176989159883,456,0.024866665601449057
zero,0.00023727940961872424,0.2760890823082665,238,0.0350765463521264
