grp,k,DCI
double,1,0.003745337984576144
double,2,0.00434023961497841
double,3,0.011304950872525274
double,4,0.00997281946968676
double,5,0.0023897713434545193
single,1,0.0013081735901865823
single,2,0.0025034156489138677
single,3,-0.0005184450773882255
single,4,-0.0005032945691872101
single,5,-0.00036877720417093535
