covariate,coef,HR,se(coef),z,p,HR_lower95,HR_upper95
round,0.1624,1.1764,0.0094,17.3174,0.0,1.1549,1.1982
position_group_DB,0.0627,1.0647,0.0248,2.5322,0.0113,1.0143,1.1176
position_group_DL,-0.027,0.9734,0.0267,-1.0091,0.3129,0.9237,1.0257
position_group_OL,-0.0416,0.9592,0.0257,-1.6172,0.1058,0.9121,1.0089
