grp,Mean_Bust_Rate,Std_Bust_Rate,Num_Teams
double,0.1590909090909091,0.3231674944007046,22
single,0.20078740157480315,0.3947062526382957,127
zero,0.04093567251461988,0.19872313421674745,171
