draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2001,IND,double,16,9.571428571428571,16.083012512030802,6.511583940602231,0.6552128819504434
2001,NYG,double,26,1.0,15.727244603327378,14.727244603327378,1.4818944926083226
2001,TB,double,30,28.857142857142858,15.584937439846009,-13.272205417296849,-1.3354845826499604
2001,ARI,single,2,16.0,16.581087584215595,0.5810875842155951,0.05847057708117455
2001,BAL,single,31,22.428571428571427,15.549360648975666,-6.879210779595761,-0.6922044715324099
2001,BUF,single,21,3.142857142857143,15.90512855767909,12.762271414821948,1.2841736680685223
2001,DAL,single,19,18.142857142857142,15.976282139419775,-2.1665750034373676,-0.21800653495571756
2001,DEN,single,15,5.285714285714286,16.118589302901146,10.832875017186861,1.0900326747785902
2001,GB,single,18,26.714285714285715,16.011858930290117,-10.702426783995598,-1.0769066268624075
2001,MIA,single,28,7.428571428571429,15.656091021586693,8.227519593015264,0.8278748877411689
2001,MIN,single,5,24.571428571428573,16.47435721160457,-8.097071359824003,-0.8147488398249864
2001,NE,single,12,31.0,16.22531967551217,-14.774680324487829,-1.4866676009414792
2001,SEA,single,1,11.714285714285714,16.61666437508594,4.902378660800226,0.49329036990932135
2001,TEN,single,29,20.285714285714285,15.620514230716351,-4.665200054997934,-0.469424828243535
2001,WAS,single,22,13.857142857142858,15.869551766808748,2.01240890966589,0.20249393287295764
2002,PHI,double,29,3.8666666666666667,16.94431372549019,13.077647058823523,1.4275726788995693
2002,BAL,single,28,5.733333333333333,16.85647058823529,11.123137254901955,1.2142158889380887
2002,CHI,single,22,18.8,16.329411764705878,-2.470588235294123,-0.2696925715805239
2002,CIN,single,13,9.466666666666667,15.538823529411761,6.072156862745095,0.6628444092623524
2002,DAL,single,21,2.0,16.241568627450977,14.241568627450977,1.554627845955283
2002,DET,single,6,15.066666666666666,14.923921568627447,-0.1427450980392191,-0.015582237469097274
2002,GB,single,26,24.4,16.680784313725486,-7.719215686274513,-0.842639456982702
2002,IND,single,7,20.666666666666668,15.01176470588235,-5.6549019607843185,-0.6172963305065317
