group,n_drafters,overdraft_rate_elastic,underdraft_rate_elastic,aligned_rate_elastic,resid_mean,resid_median,abs_resid_mean,abs_resid_median,resid_std_mean,resid_std_median
double,57,0.8245614035087719,0.17543859649122806,0.0,5.8074958619024475,8.130866559989446,8.096329980491562,8.73819313684049,0.6320967229129121,0.9109192706828817
single,296,0.42905405405405406,0.5709459459459459,0.0,-1.1183353517852683,-1.9975463694348568,7.0838271244585345,7.034597685275608,-0.1217213283987702,-0.20540323044313952
