draft_year,team,db_picks_top3,double_db_top3,single_db_top3,db_capital_top3,total_capital_top3,db_cap_share,rank_prev,pct_prev,n_teams,need_rank,need_pct_eps,NDI_rank,NDI_pct_eps,ndi_rank_pctile,ndi_pct_eps_pctile
2006,MIA,1,0,1,1000.0,1246.0,0.8025682182985554,10.0,0.7096774193548387,32.0,0.3125,0.29032258064516125,3200.0,3444.444444444445,0.896551724137931,0.896551724137931
2006,BAL,1,0,1,155.0,1695.0,0.09144542772861357,3.0,0.935483870967742,32.0,0.09375,0.06451612903225801,1653.3333333333333,2402.5000000000023,0.8275862068965517,0.8620689655172413
2006,SEA,1,0,1,600.0,920.0,0.6521739130434783,12.0,0.6451612903225806,32.0,0.375,0.3548387096774194,1600.0,1690.9090909090908,0.7931034482758621,0.7931034482758621
2006,MIN,1,0,1,420.0,1760.0,0.23863636363636365,9.0,0.7419354838709677,32.0,0.28125,0.25806451612903225,1493.3333333333333,1627.5,0.7586206896551724,0.7586206896551724
2006,PIT,1,0,1,175.0,1015.0,0.1724137931034483,5.0,0.8709677419354839,32.0,0.15625,0.12903225806451613,1120.0,1356.25,0.7241379310344828,0.7241379310344828
2006,DET,1,0,1,500.0,2070.0,0.24154589371980675,15.0,0.5483870967741935,32.0,0.46875,0.4516129032258065,1066.6666666666667,1107.142857142857,0.6896551724137931,0.6896551724137931
2006,CIN,1,0,1,740.0,1226.0,0.6035889070146819,24.0,0.2580645161290322,32.0,0.75,0.7419354838709677,986.6666666666666,997.3913043478261,0.6551724137931034,0.6551724137931034
2006,IND,1,0,1,284.0,1028.0,0.27626459143968873,17.0,0.4838709677419355,32.0,0.53125,0.5161290322580645,534.5882352941177,550.25,0.6206896551724138,0.6206896551724138
2006,NO,1,0,1,470.0,3148.0,0.14930114358322744,30.0,0.0645161290322581,32.0,0.9375,0.9354838709677419,501.3333333333333,502.4137931034483,0.5862068965517241,0.5517241379310345
2006,KC,1,0,1,360.0,1375.0,0.26181818181818184,23.0,0.2903225806451612,32.0,0.71875,0.7096774193548387,500.8695652173913,507.27272727272725,0.5517241379310345,0.5862068965517241
2006,TEN,1,0,1,92.0,2742.0,0.03355215171407731,28.0,0.1290322580645161,32.0,0.875,0.8709677419354839,105.14285714285714,105.62962962962963,0.5172413793103449,0.5172413793103449
2006,WAS,1,0,1,22.2,602.4,0.036852589641434265,8.0,0.7741935483870968,32.0,0.25,0.22580645161290325,88.8,98.3142857142857,0.4827586206896552,0.4827586206896552
2006,ARI,0,0,0,0.0,2020.0,0.0,19.0,0.4193548387096774,32.0,0.59375,0.5806451612903226,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,CLE,0,0,0,0.0,1910.0,0.0,16.0,0.5161290322580645,32.0,0.5,0.4838709677419355,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,DAL,0,0,0,0.0,1402.0,0.0,13.0,0.6129032258064516,32.0,0.40625,0.3870967741935484,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,DEN,0,0,0,0.0,1598.0,0.0,14.0,0.5806451612903225,32.0,0.4375,0.4193548387096775,0.0,0.0,0.2413793103448276,0.2413793103448276
