grp,n,indexA_mean,indexA_median,absA_mean,absA_median,indexB_mean,indexB_median,absB_mean,absB_median
double,57,5.340365463253274,2.526315789473684,8.470338644888505,6.0,2.526315789473684,2.0,4.035087719298246,2.0
single,296,-0.7598001060994481,0.0,9.11680398119543,7.8125,-0.4864864864864865,0.0,4.425675675675675,4.0
