team,draft_year,grp,DCI_Year1,DCI_Year2,DCI_Year3,DCI_Year4,DCI_Year5
CLE,2016,zero,0.0,0.0,0.0,0.0,0.0
CLE,2017,single,0.003373167632760756,0.0,0.0,0.0,0.0
CLE,2018,single,0.02815563969200217,0.01988658302492565,0.019988299839182187,0.030842654375787325,0.016738743548863285
CLE,2019,double,0.0,-0.0073822159982209765,0.00045734947691427057,0.0,0.0
CLE,2020,single,-0.0019847706751325305,0.015002811133181257,-0.0012294274444024805,0.01496920530872876,0.0
CLE,2021,single,0.015620327579419944,0.0013511695624526985,0.010760444649922058,0.0,0.0
CLE,2022,single,-0.013769236430637573,0.001168492207671938,0.0,0.0,0.0
DAL,2013,zero,-0.010510971640306946,0.014587243035131273,0.0013196879118116196,0.0,0.0
DAL,2014,zero,0.0,0.0,0.0,0.0,0.0
DAL,2015,single,-0.015074842105475196,0.00359933534103437,0.011793452915099601,0.00522107678256676,0.0
DAL,2016,zero,0.0,0.0,0.0,0.0,0.0
DAL,2017,double,0.008096577365165385,0.002983713128222074,0.002288605286463091,-0.0043469019598932285,0.0044527729629969615
DAL,2018,zero,0.0,0.0,0.0,0.0,0.0
DAL,2019,zero,0.0,0.0,0.0,0.0,0.0
DAL,2020,single,-0.007344997656688046,0.015860292182545265,0.00203188658172317,0.007991319732183609,0.0
DAL,2021,single,0.005567101234677067,0.0013735363143483306,0.0,0.0,0.0
DAL,2022,zero,0.0,0.0,0.0,0.0,0.0
DEN,2013,single,-0.0032368242949689418,0.00020863921900624933,0.0,0.0,0.0
DEN,2014,single,0.018926632740960264,0.017234722981466895,0.02269829721543628,0.0017964804958709767,0.0
DEN,2015,zero,0.0,0.0,0.0,0.0,0.0
DEN,2016,single,0.0033594099648976555,-0.026661231338100624,-0.024627115933446575,-0.02462705357226663,-0.03513805345573751
DEN,2017,zero,0.0,0.0,0.0,0.0,0.0
DEN,2018,zero,0.000975145875973958,0.0,0.0,0.0,0.0
DEN,2019,zero,0.0,0.0,0.0,0.0,0.0
DEN,2020,single,-0.000834992329507306,2.298040670922796e-05,0.0,0.0,0.0
DEN,2021,single,0.02306086597004253,0.03034964413038137,-0.006055823178500719,0.0,0.0
DEN,2022,single,0.0,0.0,0.0,0.0,0.0
DET,2013,single,0.003832089775898475,0.01576715046573785,-0.01663247600206609,-0.027555514672285016,0.0035055714895219758
DET,2014,zero,0.0,0.0,0.0,0.0,0.0
DET,2015,single,0.0,0.0,0.0,0.0,0.0
DET,2016,zero,0.0,0.0,0.0,0.0,0.0
DET,2017,single,0.008959923628798975,0.0,0.0,0.0,0.0
DET,2018,single,-0.012499361137499004,-0.01800612028691748,-0.029247288474292654,-0.0039623533920849115,-0.013588015750836353
DET,2019,single,-0.0027313840634052783,-0.018512297605118265,-0.008823985264320905,-0.0023136041554912934,0.0
DET,2020,single,-0.0004641690148370385,-0.0037343350554770826,0.0,0.0,0.0
DET,2021,zero,0.00049035574103007,0.002380036316903053,0.00044112528124737007,0.0,0.0
DET,2022,zero,0.0,-0.0027707152102331946,0.0,0.0,0.0
GB,2013,zero,0.0,0.0,0.0,0.0,0.0
GB,2014,single,0.03594644018171983,0.037650854490384876,0.0024063655966963153,-0.003316967874957779,0.0
GB,2015,double,0.0018795233781666696,-0.027355527556889275,0.0,0.0,0.0
GB,2016,zero,0.0,0.0,0.0,0.0,0.0
GB,2017,double,-0.007652049932803241,0.005479207100633367,0.014448677813263509,0.00967702456617922,0.0
GB,2018,double,0.018033666671225863,0.036946214642097276,0.009089311082411351,0.04504080424951165,0.0044620929623702035
GB,2019,single,0.012434154557490314,0.026819752604803574,0.027446987663181877,-0.0038158980436652566,0.0
GB,2020,zero,0.0,0.0,0.0,0.0,0.0
GB,2021,single,0.0028964618640446955,-0.0030556779433314686,-0.015680207877988322,0.0,0.0
GB,2022,zero,0.0,0.0,0.0,0.0,0.0
HOU,2013,single,-0.004777064051760054,0.0,0.0,0.0,0.0
HOU,2014,zero,0.0,0.0,0.0,0.0,0.0
HOU,2015,single,0.0,0.00259274234149977,-0.0026137386902878265,0.0,0.0
HOU,2016,zero,0.0,0.0,0.0,0.0,0.0
HOU,2017,zero,0.0,0.0,0.0,0.0,0.0
HOU,2018,single,0.028185062846184397,0.004049403235308728,-0.0017904877067735818,0.0,0.0
HOU,2019,single,-0.017370497310610276,-0.01652228398157141,0.0,0.0,0.0
HOU,2020,zero,0.0,0.0,0.0,0.0,0.0
HOU,2021,zero,0.0,0.0,0.0,0.0,0.0
HOU,2022,single,0.007715779829689909,0.015431345741807384,0.0,0.0,0.0
IND,2013,zero,0.0,0.0,0.0,0.0,0.0
IND,2014,zero,0.0,0.0,0.0,0.0,0.0
IND,2015,single,0.0,0.0,0.0,0.0,0.0
IND,2016,single,-0.004935634675553854,0.0,0.0,0.0,0.0
IND,2017,double,-0.01738426269703922,0.032474322159692814,0.0007585800331117288,0.0,0.0
IND,2018,zero,0.0,0.0,0.0,0.0,0.0
IND,2019,single,-0.012621997243811488,-0.007896217498077744,0.0,0.0,0.0
IND,2020,single,0.0036052052328206,0.01472478431352696,0.0,0.011631905033912255,0.0
IND,2021,zero,0.0,0.0,0.0,0.0,0.0
IND,2022,zero,-0.005817336278097293,-0.010912761888768718,0.0,0.0,0.0
JAX,2013,double,-0.02865643478556665,-0.015332000606958255,0.0,0.0,0.0
JAX,2014,zero,0.0,0.0,0.0,0.0,0.0
JAX,2015,zero,0.0,0.0,0.0,0.0,0.0
JAX,2016,single,0.029566037177184805,0.03964681947965618,0.0070200950537103665,0.0,0.0
JAX,2017,zero,0.0,0.0,0.0,0.0,0.0
JAX,2018,single,-0.0035704996948489353,0.0,0.0,0.0,0.0
JAX,2019,zero,-0.002988873692063803,0.0,0.0,0.0,0.0
JAX,2020,single,-0.0017529685165434323,0.0,0.0,0.0,0.0
JAX,2021,single,0.008676912671381471,0.04005490192762182,0.05922904235247951,0.0,0.0
JAX,2022,zero,0.0,0.0,0.0,0.0,0.0
KC,2013,zero,0.0,0.0,0.0,0.0,0.0
KC,2014,single,0.0031275876537679662,0.010240605607382651,0.006974438016749148,0.0,0.0
KC,2015,single,0.008214016482543716,-0.004329178379557535,-0.028284532966510477,0.0,0.0
KC,2016,single,0.0,0.0,0.0,0.0,0.0
KC,2017,zero,0.0,0.0,0.0,0.0,0.0
KC,2018,zero,0.0,0.0,0.0,0.0,0.0
