current,High,Low,Mid
High,0.5761589403973509,0.18543046357615894,0.23841059602649006
Low,0.1386861313868613,0.5109489051094891,0.35036496350364965
Mid,0.05172413793103448,0.040229885057471264,0.9080459770114943
