grp,k,dci_k
double,1,-0.0022901549473794336
double,2,-0.0019614313223867935
double,3,0.0007884618281942911
double,4,0.0020070546043622637
double,5,0.0010630517823422346
single,1,-7.918625968265516e-06
single,2,0.0013731749810262646
single,3,-0.0009910593709378567
single,4,-0.0002456432024235294
single,5,-0.0005750196909959873
zero,1,-0.00031639084541621853
zero,2,-4.326731388720876e-06
zero,3,0.00026949285115089746
zero,4,8.875242246922851e-05
zero,5,2.2671003165924723e-05
