draft_year,team,db_picks_top3,db_capital_top3,total_capital_top3,double_db_top3,single_db_top3,db_cap_share,pdx4_prev,rank_prev,pct_prev,need,NDI,resid_poly,pred_frontier90,gap_to_frontier,frontier_eff,exp_share,IRI
2020,ARI,0,0.0,1696.0,0,0,0.0,-1.4252524009416767,32.0,0.999999,1.0000000000287557e-06,0.0,-316.0643777682978,931.639752416134,-931.639752416134,0.0,0.18739180720866533,0.0
2020,ATL,1,1000.0,1630.0,0,1,0.6134969325153374,-0.5287891146867139,24.0,0.75,0.25,3999.984000064,587.0224449113025,845.2200420122313,154.77995798776874,1.1831238615914517,0.1814549111174996,3.380988305783979
2020,BAL,0,0.0,1245.0,0,0,0.0,0.91972279201319,5.0,0.15625,0.84375,0.0,-219.47910563355111,528.3696295345661,-528.3696295345661,0.0,0.15866152445768272,0.0
2020,BUF,0,0.0,564.0,0,0,0.0,1.02309654608162,4.0,0.125,0.875,0.0,-175.92372207812198,188.62529416204518,-188.62529416204518,0.0,0.1571229558675705,0.0
2020,CAR,1,270.0,2290.0,0,1,0.11790393013100436,0.1238373063546977,15.0,0.46875,0.53125,508.23433744124713,-83.4398794085352,1107.0099605502533,-837.0099605502533,0.24390024446193156,0.17218316872524006,0.6847587427035254
2020,CHI,1,400.0,899.4,0,1,0.44474093840338,0.3025954546832823,11.0,0.34375,0.65625,609.5228807270389,222.91641005327915,399.999999889463,1.1053697335228208e-07,1.0000000002763425,0.16718121101099498,2.660232784018599
2020,CIN,0,0.0,3845.0,0,0,0.0,-1.1053229177018644,29.0,0.90625,0.09375,0.0,-587.192652910312,1962.0899240744316,-1962.0899240744316,0.0,0.18541967080093064,0.0
2020,CLE,1,460.0,1910.0,0,1,0.24083769633507854,0.1558306553128934,13.0,0.40625,0.59375,774.7355372875161,169.748942982122,907.671258287562,-447.67125828756195,0.506791413521068,0.16974997320024715,1.4187789947452427
2020,DAL,1,390.0,1520.0,0,1,0.2565789473684211,-0.075861543460197,20.0,0.625,0.375,1039.9972266740622,27.13936292368379,764.360844730767,-374.360844730767,0.5102302174274388,0.177673053381588,1.444107266043135
2020,DEN,1,205.0,1695.0,0,1,0.12094395280235988,0.0021012129212122,17.0,0.53125,0.46875,437.3324003575459,-126.99547785752009,829.6213519470672,-624.6213519470672,0.24710067974851224,0.17448079758597368,0.6931648323235452
2020,DET,1,2200.0,3005.0,0,1,0.7321131447587355,-0.9943205929140438,27.0,0.84375,0.15625,14079.909888576713,1665.093947184791,1537.8337213006596,662.1662786993404,1.4305837942864834,0.18393544192575267,3.98027230148641
2020,GB,0,0.0,1108.0,0,0,0.0,0.3964616422983895,9.0,0.28125,0.71875,0.0,-184.3591271673399,488.45790806334145,-488.45790806334145,0.0,0.1644768821574835,0.0
2020,HOU,0,0.0,686.0,0,0,0.0,-0.6319774214844123,25.0,0.78125,0.21875,0.0,-330.9664652591126,390.41885927495633,-390.41885927495633,0.0,0.18231564638631545,0.0
2020,IND,1,165.0,1215.0,0,1,0.13580246913580246,-0.2224526243375778,21.0,0.65625,0.34375,479.9986036404258,-183.65857670143197,621.9994072686671,-456.99940726866714,0.26527356468802826,0.17866935531466313,0.7600770087104991
2020,JAX,1,1350.0,2680.0,0,1,0.503731343283582,-0.5232311275997076,23.0,0.71875,0.28125,4799.982933394015,848.6704218491307,1351.8500400846683,-1.8500400846683078,0.9986314753635304,0.1805602841826189,2.7898236069129547
2020,KC,0,0.0,982.0,0,0,0.0,0.475977558825616,8.0,0.25,0.75,0.0,-172.28287247816183,420.08142656832007,-420.08142656832007,0.0,0.16307388023163055,0.0
2020,LA,0,0.0,880.0,0,0,0.0,0.6377671416179583,6.0,0.1875,0.8125,0.0,-174.01674341237597,356.67112678841227,-356.67112678841227,0.0,0.16016620138173016,0.0
2020,LAC,0,0.0,2430.0,0,0,0.0,-0.3211586721155557,22.0,0.6875,0.3125,0.0,-469.6693081188033,1222.8436236692687,-1222.8436236692687,0.0,0.17963176558167343,0.0
2020,LV,1,875.0,2265.0,0,1,0.38631346578366443,-1.2211349332360997,31.0,0.96875,0.03125,27999.10402867108,475.6337035066033,1203.0844937246923,-328.08449372469227,0.7272972135905781,0.18676833301184934,2.0684098827350734
2020,MIA,1,620.0,3220.0,0,1,0.19254658385093168,-1.1963408765340169,30.0,0.9375,0.0625,9919.841282539479,108.88243571592398,1663.2641384307103,-1043.2641384307103,0.37276099789235523,0.18611094773942238,1.0345795676701404
2020,MIN,1,600.0,1700.0,0,1,0.35294117647058826,0.6018238653815025,7.0,0.21875,0.78125,767.9990169612582,359.70610443922055,764.3796634023249,-164.37966340232492,0.7849502396876236,0.16163698663971277,2.1835421694496855
2020,NE,1,530.0,985.0,0,1,0.5380710659898477,2.143667123234632,1.0,0.03125,0.96875,547.0962094490741,226.12423187199346,374.16776904296677,155.83223095703323,1.4164768957936047,0.15230390010084485,3.5328777899553137
2020,NO,0,0.0,1044.0,0,0,0.0,0.2723730202884545,12.0,0.375,0.625,0.0,-200.05069906173094,477.4709716225412,-477.4709716225412,0.0,0.16848253793865348,0.0
2020,NYG,1,540.0,2444.0,0,1,0.220949263502455,-1.061619497118939,28.0,0.875,0.125,4319.965440276478,64.91580917607092,1270.3008052932626,-730.3008052932626,0.4250961644280271,0.18469450219637407,1.1962958337954939
2020,NYJ,1,250.0,1810.0,0,1,0.13812154696132597,0.0716807765336791,16.0,0.5,0.5,499.99900000199995,-76.0708948032223,879.0820826763293,-629.0820826763293,0.2843875502943767,0.1733489289886393,0.7967833880899143
