full_name,position,career_length,position_group
Shawn Bryson,RB,7,RB
Doug Brzezinski,OL,5,OL
Ray Buchanan,DB,5,DB
Curtis Buckley,DB,1,DB
Marcus Buckley,LB,1,LB
Terrell Buckley,DB,6,DB
Brentson Buckner,DL,6,DL
Jim Bundren,OL,1,OL
Tom Burke,DL,3,DL
Dialleo Burks,WR,1,WR
Chester Burnett,LB,1,LB
Rob Burnett,DL,4,DL
Keith Burns,LB,7,LB
Jeff Burris,DB,4,DB
John Burrough,DL,2,DL
Shane Burton,DL,4,DL
Devin Bush,DB,9,DB
Lewis Bush,LB,3,LB
Steve Bush,TE,6,TE
LeRoy Butler,DB,2,DB
Kenny Bynum,RB,1,RB
Isaac Byrd,WR,3,WR
Glenn Cadrez,LB,3,LB
Mike Caldwell,LB,4,LB
Chris Calloway,WR,1,WR
Dan Campbell,TE,9,TE
Lamar Campbell,DB,2,DB
Mark Campbell,TE,9,TE
Matt Campbell,OL,2,OL
James Cannida,DL,3,DL
Jim Cantelupe,DB,1,DB
Barry Cantrell,SPEC,1,SP
Chris Canty,DB,12,DB
John Carney,SPEC,11,SP
Keion Carpenter,DB,5,DB
Mark Carrier,DB,1,DB
Dwayne Carswell,TE,6,TE
Tony Carter,RB,9,RB
Chris Carter,DB,9,DB
Cris Carter,WR,3,WR
Dale Carter,DB,5,DB
Kevin Carter,DL,9,DL
Marty Carter,DB,2,DB
Tom Carter,DB,2,DB
Johndale Carty,DB,3,DB
Stoney Case,QB,1,QB
Larry Centers,RB,4,RB
Matt Cercone,TE,3,TE
Anthony Cesario,OL,2,OL
Byron Chamberlain,TE,4,TE
Robert Chancey,RB,1,RB
Chris Chandler,QB,5,QB
Roger Chanoine,OL,3,OL
Martin Chase,DL,5,DL
Matt Chatham,LB,8,LB
Corey Chavous,DB,9,DB
Je'Rod Cherry,DB,5,DB
Mike Cherry,QB,1,QB
Larry Chester,DL,5,DL
Darrin Chiaverini,WR,3,WR
O.J. Childress,LB,1,LB
Wayne Chrebet,WR,6,WR
Bob Christian,RB,3,RB
Steve Christie,SPEC,5,SP
Jeff Christy,OL,3,OL
Chris Claiborne,LB,7,LB
Desmond Clark,TE,11,TE
Greg Clark,TE,2,TE
Jon Clark,OL,1,OL
Cameron Cleeland,TE,6,TE
Anthony Clement,OL,8,OL
Charlie Clemons,LB,4,LB
Duane Clemons,DL,6,DL
Mike Cloud,RB,2,RB
Rich Coady,DB,2,DB
Dexter Coakley,LB,7,LB
