draft_year,team,pdx4_prev,perf_pct_prev,perf_rank_prev,n_teams,need_rank,need_pct,db_picks_top3,db_capital_top3,total_capital_top3,grp,cap_rank_raw,cap_rank_prop_in_need_space,need_rank_prop_in_cap_space,index_A,index_B,abs_index_A,abs_index_B,index_A_rank_signed,index_A_rank_abs,index_B_rank_signed,index_B_rank_abs,cap_pred_elastic,RMSE,cap_resid_elastic,cap_resid_elastic_std,ln_cap,ln_need,pred_frontier90,gap_to_frontier,frontier_eff
2013,NYJ,0.5147082615873009,0.7419354838709677,9,32,24,0.25806451612903225,1,1350.0,3010.0,single,1.0,1.0,14.0,23.0,13.0,23.0,13.0,1.0,1.0,1.0,1.0,16.929320987654325,8.89803310520305,15.929320987654325,1.790206981623814,7.2078598714324755,3.1780538303479458,6.997290239804116,-0.21056963162835984,1.0
2013,HOU,0.4177834881282456,0.7096774193548387,10,32,23,0.2903225806451613,1,330.0,1155.0,single,12.0,20.25,13.0,2.75,1.0,2.75,1.0,7.0,12.0,7.0,13.0,16.696707818930044,8.89803310520305,-3.5532921810699563,-0.39933456518522037,5.799092654460526,3.1354942159291497,6.996744595286234,1.1976519408257085,0.3019022646943278
2013,CLE,0.3069402830579529,0.6451612903225806,12,32,21,0.3548387096774194,2,271.4,1871.4,double,13.0,22.0,12.0,-1.0,-1.0,1.0,1.0,11.0,16.0,11.0,13.0,16.231481481481485,8.89803310520305,-5.7685185185185155,-0.6482914201730069,5.603593747400769,3.044522437723423,6.995578272406251,1.3919845250054825,0.24858149860864337
2013,MIN,0.2193690890561276,0.5483870967741935,15,32,18,0.45161290322580644,1,720.0,2120.0,single,6.0,9.75,11.0,8.25,5.0,8.25,5.0,3.0,6.0,3.0,6.0,15.533641975308644,8.89803310520305,5.783641975308644,0.6499910606004273,6.579251212010101,2.8903717578961645,6.99360195108558,0.4143507390754788,0.660769153056096
2013,BAL,0.159238649878722,0.4838709677419355,17,32,16,0.5161290322580645,1,590.0,1054.0,single,7.0,11.5,10.0,4.5,3.0,4.5,3.0,5.0,9.0,4.0,8.0,15.068415637860085,8.89803310520305,3.5684156378600846,0.4010342056126408,6.380122536899765,2.772588722239781,6.9920918888215535,0.6119693519217888,0.5422818729565567
2013,DET,-0.0106432996370198,0.4516129032258065,18,32,15,0.5483870967741935,1,540.0,2505.0,single,8.0,13.25,9.0,1.75,1.0,1.75,1.0,9.0,15.0,7.0,13.0,14.835802469135803,8.89803310520305,1.5858024691358032,0.17821943910374066,6.29156913955832,2.70805020110221,6.991264459091942,0.699695319533622,0.49673662668475943
2013,WAS,-0.1524074769832831,0.4193548387096774,19,32,14,0.5806451612903226,2,446.0,611.0,double,10.0,16.75,8.0,-2.75,-2.0,2.75,2.0,12.0,12.0,12.0,9.0,14.603189300411524,8.89803310520305,-2.1468106995884764,-0.24126800543517274,6.100318952020064,2.6390573296152584,6.990379921423689,0.890060969403625,0.4106307160792483
2013,MIA,-0.1859230115965475,0.3870967741935484,20,32,13,0.6129032258064516,1,360.0,2765.0,single,11.0,18.5,7.0,-5.5,-4.0,5.5,4.0,14.0,8.0,14.0,7.0,14.370576131687244,8.89803310520305,-4.129423868312756,-0.4640827719440727,5.886104031450156,2.5649493574615367,6.989429804527914,1.1033257730777581,0.33176586887511406
2013,TEN,-0.2328541430456586,0.3548387096774194,21,32,12,0.6451612903225806,1,240.0,2100.0,single,15.0,25.5,6.0,-13.5,-9.0,13.5,9.0,16.0,4.0,16.0,4.0,14.137962962962964,8.89803310520305,-11.362037037037036,-1.276915572543013,5.480638923341991,2.4849066497880004,6.988403600103017,1.5077646767610258,0.22140433548542013
2013,JAX,-0.5903030304369071,0.2903225806451612,23,32,10,0.7096774193548387,2,850.0,3450.0,double,5.0,8.0,5.0,2.0,0.0,2.0,0.0,8.0,14.0,9.0,16.0,13.672736625514403,8.89803310520305,5.672736625514403,0.637527030799348,6.745236349484363,2.302585092994046,6.98606610810938,0.24082975862501765,0.7859754205356669
2013,ATL,-0.6909907611833376,0.2580645161290322,24,32,9,0.7419354838709677,2,1080.0,1125.0,double,2.0,2.75,4.0,6.25,2.0,6.25,2.0,4.0,7.0,5.0,9.0,13.440123456790124,8.89803310520305,10.690123456790124,1.2014029764105019,6.984716320118266,2.1972245773362196,6.984715311384481,-1.0087337845021693e-06,1.0
2013,NE,-0.7852174169441336,0.1612903225806451,27,32,6,0.8387096774193549,1,175.0,865.0,single,16.0,27.25,3.0,-21.25,-13.0,21.25,13.0,17.0,2.0,17.0,1.0,12.742283950617283,8.89803310520305,-14.507716049382717,-1.630440781446346,5.1647859739235145,1.791759469228055,6.979516960401919,1.8147309864784047,0.16288171988205988
