group,mean,CI_low,CI_high,n
double,-0.01612903225806451,-0.1575992555831266,0.12285980148883371,26
single,0.019082235347569282,-0.032718082689686526,0.07110404361653794,142
zero,-0.012447405329593259,-0.06260080645161291,0.03611500701262272,184
