metric,non_double_median,non_double_Q1,non_double_Q3,n_non_double,double_median,double_Q1,double_Q3,n_double,median_diff_double_minus_non
NDI_rank,0.0,0.0,706.2857142857142,659,1531.4285714285713,962.9090909090909,2596.923076923077,57,1531.4285714285713
NDI_pct_eps,0.0,0.0,748.4285714285714,659,1566.1739130434783,977.2380952380952,2704.75,57,1566.1739130434783
