season,team,latent_score,improvement,group
2018,PHI,0.21844956444846275,-0.010577805169504018,double
2019,PHI,0.20791712329068446,-0.010532441157778294,single
2020,PHI,0.1974300461446603,-0.010487077146024149,double
2021,PHI,0.18698833301034767,-0.010441713134312636,double
2022,PHI,0.17659198388776076,-0.010396349122586912,single
2023,PHI,0.16624099877691378,-0.010350985110846977,single
2024,PHI,0.15593537767779253,-0.010305621099121254,double
2001,NYG,0.09001639188274702,-0.01701094331493813,single
2002,NYG,0.07299619243960898,-0.01702019944313804,single
2003,NYG,0.05596673686827103,-0.017029455571337948,double
2004,NYG,0.03892802516873495,-0.01703871169953608,single
2005,NYG,0.021880057341002512,-0.017047967827732435,single
2006,NYG,0.004822833385070169,-0.017057223955932344,single
2007,NYG,-0.01224364669906386,-0.017066480084134028,double
2008,NYG,-0.02931938291139069,-0.01707573621232683,single
2009,NYG,-0.04640437525192098,-0.01708499234053029,double
2010,NYG,-0.0634986237206494,-0.017094248468728424,single
2011,NYG,-0.08060212831757418,-0.01710350459692478,double
2012,NYG,-0.09771488904269887,-0.017112760725124687,single
2013,NYG,-0.11483690589602169,-0.01712201685332282,single
2014,NYG,-0.13196817887754442,-0.017131272981522727,double
2015,NYG,-0.1491087079872635,-0.017140529109719083,double
2016,NYG,-0.16625849322518427,-0.017149785237920767,double
2017,NYG,-0.1834175345913014,-0.017159041366117123,single
2018,NYG,-0.20058583208561842,-0.01716829749431703,single
2019,NYG,-0.21776338570813358,-0.017177553622515163,single
2020,NYG,-0.2349501954588451,-0.017186809750711518,single
2021,NYG,-0.2521462613377601,-0.01719606587891498,double
2022,NYG,-0.26935158334486964,-0.017205322007109558,single
2023,NYG,-0.2865661614801791,-0.017214578135309466,single
2024,NYG,-0.3037899957436849,-0.01722383426350582,single
2001,DET,-0.3017110378273642,-0.024499783343970183,single
2002,DET,-0.3262358005706195,-0.024524762743255324,single
2003,DET,-0.35078554271315987,-0.024549742142540354,single
2004,DET,-0.37536026425498525,-0.024574721541825384,double
2005,DET,-0.3999599651961028,-0.02459970094111752,single
2006,DET,-0.4245846455365053,-0.02462468034040255,single
2007,DET,-0.4492343052761929,-0.02464965973968758,single
2008,DET,-0.4739089444151655,-0.02467463913897261,single
2009,DET,-0.49860856295343026,-0.024699618538264745,double
2010,DET,-0.5233331608909729,-0.02472459793754267,double
2011,DET,-0.5480827382278077,-0.024749577336834805,double
2012,DET,-0.5728572949639347,-0.02477455673612694,double
2013,DET,-0.5976568310993395,-0.024799536135404865,double
2014,DET,-0.6224813466340365,-0.024824515534697,double
2015,DET,-0.6473308415680115,-0.024849494933974925,single
2016,DET,-0.6722053159012785,-0.02487447433326706,double
2017,DET,-0.6971047696338377,-0.024899453732559196,double
2018,DET,-0.7220292027656748,-0.02492443313183712,single
2019,DET,-0.7469786152968041,-0.024949412531129256,double
2020,DET,-0.7719530072272184,-0.024974391930414286,single
2021,DET,-0.7969523785569177,-0.024999371329699316,single
2022,DET,-0.821976729285902,-0.025024350728984346,double
2023,DET,-0.8470260594141785,-0.02504933012827648,single
2024,DET,-0.87210036894174,-0.02507430952756151,double
2001,NYJ,0.27246416255512784,-0.011312964827109084,single
2002,NYJ,0.26115275873966937,-0.011311403815458476,single
2003,NYJ,0.24984291593585795,-0.01130984280381142,double
2004,NYJ,0.23853463414369358,-0.011308281792164365,single
2005,NYJ,0.22722791336317627,-0.01130672078051731,single
