group,n_total,overdraft_rate,underdraft_rate,aligned_rate,index_mean,index_median,index_Q1,index_Q3,abs_index_mean,abs_index_median,abs_index_Q1,abs_index_Q3
double,57,0.8947368421052632,0.05263157894736842,0.05263157894736842,9.859649122807017,7.0,4.0,16.0,10.526315789473685,8.0,4.0,16.0
single,296,0.7736486486486487,0.20945945945945946,0.016891891891891893,8.074324324324325,8.0,1.0,15.0,10.22972972972973,9.0,5.0,15.0
zero,445,0.5415730337078651,0.42921348314606744,0.029213483146067417,2.1325842696629214,2.0,-6.0,10.0,8.797752808988765,8.0,4.0,12.0
