step,Low,Mid,High
0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,0.3658687943262411,0.3167553191489362,0.3173758865248227
2,0.3821049070092047,0.30972869039535234,0.30816640259544287
3,0.3904905785354541,0.30665806677515456,0.30285135468939123
4,0.39494863421987414,0.30526747224928025,0.29978389353084545
5,0.39737365188550094,0.3046127712629205,0.2980135768515783
6,0.39871590494390297,0.3042922169263295,0.29699187812976724
7,0.3994683557718924,0.3041294166904492,0.29640222753765816
8,0.3998940132486567,0.30404406287987545,0.29606192387146757
9,0.4001363384024435,0.3039981363845018,0.29586552521305437
10,0.4002748992008506,0.30397292268416826,0.29575217811498083
