Rnd,Pick,Tm,Player,Pos,Age
1,1,CLE,Baker Mayfield,QB,23
1,2,NYG,Saquon Barkley,RB,21
1,3,NYJ,Sam Darnold,QB,21
1,4,CLE,Denzel Ward,CB,21
1,5,DEN,Bradley Chubb,DE,22
1,6,IND,Quenton Nelson,G,22
1,7,BUF,Josh Allen,QB,22
1,8,CHI,Roquan Smith,ILB,21
1,9,SFO,Mike McGlinchey,T,23
1,10,ARI,Josh Rosen,QB,21
1,11,MIA,Minkah Fitzpatrick,S,21
1,12,TAM,Vita Vea,DT,23
1,13,WAS,Daron Payne,DT,21
1,14,NOR,Marcus Davenport,DE,22
1,15,OAK,Kolton Miller,T,22
1,16,BUF,Tremaine Edmunds,ILB,20
1,17,LAC,Derwin James,S,22
1,18,GNB,Jaire Alexander,CB,21
1,19,DAL,Leighton Vander Esch,OLB,22
1,20,DET,Frank Ragnow,C,22
1,21,CIN,Billy Price,C,23
1,22,TEN,Rashaan Evans,ILB,22
1,23,NWE,Isaiah Wynn,T,22
1,24,CAR,D.J. Moore,WR,21
1,25,BAL,Hayden Hurst,TE,25
1,26,ATL,Calvin Ridley,WR,23
1,27,SEA,Rashaad Penny,RB,22
1,28,PIT,Terrell Edmunds,S,21
1,29,JAX,Taven Bryan,DT,22
1,30,MIN,Mike Hughes,CB,21
1,31,NWE,Sony Michel,RB,23
1,32,BAL,Lamar Jackson,QB,21
2,33,CLE,Austin Corbett,C,23
2,34,NYG,Will Hernandez,G,23
2,35,CLE,Nick Chubb,RB,22
2,36,IND,Shaquille Leonard,LB,23
2,37,IND,Braden Smith,G,22
2,38,TAM,Ronald Jones II,RB,21
2,39,CHI,James Daniels,C,20
2,40,DEN,Courtland Sutton,WR,22
2,41,TEN,Harold Landry,OLB,22
2,42,MIA,Mike Gesicki,TE,22
2,43,DET,Kerryon Johnson,RB,21
2,44,SFO,Dante Pettis,WR,22
2,45,GNB,Josh Jackson,CB,22
2,46,KAN,Breeland Speaks,DE,22
2,47,ARI,Christian Kirk,WR,21
2,48,LAC,Uchenna Nwosu,OLB,21
2,49,PHI,Dallas Goedert,TE,23
2,50,DAL,Connor Williams,T,21
2,51,CHI,Anthony Miller,WR,23
2,52,IND,Kemoko Turay,OLB,23
2,53,TAM,M.J. Stewart,CB,22
2,54,CIN,Jessie Bates III,S,21
2,55,CAR,Donte Jackson,CB,22
2,56,NWE,Duke Dawson,CB,22
2,57,OAK,P.J. Hall,DT,23
2,58,ATL,Isaiah Oliver,CB,21
2,59,WAS,Derrius Guice,RB,21
2,60,PIT,James Washington,WR,22
2,61,JAX,DJ Chark,WR,21
2,62,MIN,Brian O'Neill,T,22
2,63,TAM,Carlton Davis,CB,21
2,64,IND,Tyquan Lewis,DE,23
3,65,OAK,Brandon Parker,T,22
3,66,NYG,Lorenzo Carter,DE,22
3,67,CLE,Chad Thomas,DE,22
3,68,HOU,Justin Reid,S,21
3,69,NYG,B.J. Hill,DT,23
3,70,SFO,Fred Warner,OLB,21
3,71,DEN,Royce Freeman,RB,22
3,72,NYJ,Nathan Shepherd,DT,24
3,73,MIA,Jerome Baker,OLB,21
3,74,WAS,Geron Christian,T,21
3,75,KAN,Derrick Nnadi,DT,22
3,76,PIT,Mason Rudolph,QB,23
3,77,CIN,Sam Hubbard,DE,23
3,78,CIN,Malik Jefferson,OLB,21
3,79,SEA,Rasheem Green,DT,21
3,80,HOU,Martinas Rankin,T,23
3,81,DAL,Michael Gallup,WR,22
3,82,DET,Tracy Walker,S,23
3,83,BAL,Orlando Brown Jr.,T,22
3,84,LAC,Justin Jones,DT,22
3,85,CAR,Rashaan Gaulden,CB,23
3,86,BAL,Mark Andrews,TE,23
3,87,OAK,Arden Key,DE,22
3,88,GNB,Oren Burks,ILB,23
3,89,LAR,Joseph Noteboom,T,23
3,90,ATL,Deadrin Senat,DT,24
3,91,NOR,Tre'Quan Smith,WR,22
3,92,PIT,Chukwuma Okorafor,T,21
3,93,JAX,Ronnie Harrison,S,21
3,94,TAM,Alex Cappa,T,23
3,95,SFO,Tarvarius Moore,S,22
3,96,BUF,Harrison Phillips,DT,22
3,97,ARI,Mason Cole,C,22
3,98,HOU,Jordan Akins,TE,26
