Rnd,Pick,Tm,Player,Pos,Age
1,1,OAK,JaMarcus Russell,QB,22
1,2,DET,Calvin Johnson HOF,WR,21
1,3,CLE,Joe Thomas HOF,T,22
1,4,TAM,Gaines Adams,DE,24
1,5,ARI,Levi Brown,T,23
1,6,WAS,LaRon Landry,DB,22
1,7,MIN,Adrian Peterson,RB,22
1,8,ATL,Jamaal Anderson,DE,21
1,9,MIA,Ted Ginn Jr.,WR,22
1,10,HOU,Amobi Okoye,DT,20
1,11,SFO,Patrick Willis,LB,22
1,12,BUF,Marshawn Lynch,RB,21
1,13,STL,Adam Carriker,DE,23
1,14,NYJ,Darrelle Revis HOF,DB,22
1,15,PIT,Lawrence Timmons,LB,21
1,16,GNB,Justin Harrell,DT,23
1,17,DEN,Jarvis Moss,DE,23
1,18,CIN,Leon Hall,DB,22
1,19,TEN,Michael Griffin,DB,22
1,20,NYG,Aaron Ross,DB,24
1,21,JAX,Reggie Nelson,DB,23
1,22,CLE,Brady Quinn,QB,22
1,23,KAN,Dwayne Bowe,WR,22
1,24,NWE,Brandon Meriweather,DB,23
1,25,CAR,Jon Beason,LB,22
1,26,DAL,Anthony Spencer,DE,23
1,27,NOR,Robert Meachem,WR,22
1,28,SFO,Joe Staley,T,23
1,29,BAL,Ben Grubbs,G,23
1,30,SDG,Craig Davis,WR,21
1,31,CHI,Greg Olsen,TE,22
1,32,IND,Anthony Gonzalez,WR,22
2,33,ARI,Alan Branch,DT,22
2,34,BUF,Paul Posluszny,LB,22
2,35,TAM,Arron Sears,G,22
2,36,PHI,Kevin Kolb,QB,23
2,37,SDG,Eric Weddle,DB,22
2,38,OAK,Zach Miller,TE,21
2,39,ATL,Justin Blalock,G,23
2,40,MIA,John Beck,QB,26
2,41,ATL,Chris Houston,DB,22
2,42,IND,Tony Ugoh,T,23
2,43,DET,Drew Stanton,QB,23
2,44,MIN,Sidney Rice,WR,21
2,45,CAR,Dwayne Jarrett,WR,20
2,46,PIT,LaMarr Woodley,DE,22
2,47,NYJ,David Harris,LB,23
2,48,JAX,Justin Durant,LB,21
2,49,CIN,Kenny Irons,RB,
2,50,TEN,Chris Henry,RB,22
2,51,NYG,Steve Smith,WR,22
2,52,STL,Brian Leonard,RB,23
2,53,CLE,Eric Wright,DB,22
2,54,KAN,Turk McBride,DT,22
2,55,SEA,Josh Wilson,DB,22
2,56,DEN,Tim Crowder,DE,22
2,57,PHI,Victor Abiamiri,DE,21
2,58,DET,Ikaika Alama-Francis,DE,22
2,59,CAR,Ryan Kalil,C,22
2,60,MIA,Samson Satele,C,22
2,61,DET,Gerald Alexander,DB,23
2,62,CHI,Dan Bazuin,DE,
2,63,GNB,Brandon Jackson,RB,21
2,64,TAM,Sabby Piscitelli,LB,24
3,65,OAK,Quentin Moses,DE,23
3,66,NOR,Usama Young,DB,22
3,67,DAL,James Marten,T,23
3,68,TAM,Quincy Black,LB,23
3,69,ARI,Buster Davis,LB,23
3,70,DEN,Ryan Harris,T,22
3,71,MIA,Lorenzo Booker,RB,23
3,72,MIN,Marcus McCauley,DB,24
3,73,HOU,Jacoby Jones,WR,23
3,74,BAL,Yamon Figurs,WR,24
3,75,ATL,Laurent Robinson,WR,22
3,76,SFO,Jason Hill,WR,22
3,77,PIT,Matt Spaeth,TE,23
3,78,GNB,James Jones,WR,23
3,79,JAX,Mike Sims-Walker,WR,22
3,80,TEN,Paul Williams,WR,23
3,81,NYG,Jay Alford,DT,24
3,82,KAN,Tank Tyler,DT,22
3,83,CAR,Charles Johnson,DE,21
3,84,STL,Jonathan Wade,DB,23
3,85,SEA,Brandon Mebane,DT,22
3,86,BAL,Marshal Yanda,T,22
3,87,PHI,Stewart Bradley,LB,23
3,88,NOR,Andy Alleman,G,23
3,89,GNB,Aaron Rouse,DB,23
3,90,PHI,Tony Hunt,RB,21
3,91,OAK,Mario Henderson,DT,22
3,92,BUF,Trent Edwards,QB,23
3,93,CHI,Garrett Wolfe,RB,23
3,94,CHI,Michael Okwo,LB,
3,95,IND,Dante Hughes,DB,22
3,96,SDG,Anthony Waters,LB,23
3,97,SFO,Ray McDonald,DE,22
3,98,IND,Quinn Pitcock,DT,23
3,99,OAK,Johnnie Lee Higgins,WR,23
4,100,OAK,Michael Bush,RB,23
4,101,JAX,Adam Podlesh,P,24
4,102,MIN,Brian Robison,DE,24
4,103,DAL,Isaiah Stanback,QB,23
4,104,SFO,Jay Moore,DE,
4,105,DET,A.J. Davis,DB,
4,106,TAM,Tanard Jackson,DB,22
4,107,NOR,Antonio Pittman,RB,21
4,108,MIA,Paul Soliai,DT,23
4,109,ATL,Stephen Nicholas,LB,24
4,110,OAK,John Bowie,DB,23
4,111,BUF,Dwayne Wright,RB,24
4,112,PIT,Daniel Sepulveda,P,23
4,113,JAX,Brian Smith,DE,
4,114,CIN,Marvin White,DB,23
4,115,TEN,Leroy Harris,C,23
4,116,NYG,Zak DeOssie,LB,23
4,117,DET,Manuel Ramirez,G,24
4,118,CAR,Ryne Robinson,WR,22
4,119,GNB,Allen Barbre,T,23
4,120,SEA,Baraka Atkins,DE,22
4,121,DEN,Marcus Thomas,DT,21
4,122,DAL,Doug Free,T,23
4,123,HOU,Fred Bennett,DB,23
4,124,SEA,Mansfield Wrotto,G,22
4,125,NOR,Jermon Bushrod,T,23
4,126,SFO,Dashon Goldson,DB,22
4,127,NWE,Kareem Brown,DT,24
4,128,TEN,Chris Davis,WR,23
4,129,SDG,Scott Chandler,TE,22
4,130,CHI,Josh Beekman,C,24
4,131,IND,Brannon Condren,DB,24
4,132,PIT,Ryan McBean,DT,23
4,133,ATL,Martrez Milner,TE,23
4,134,BAL,Antwan Barnes,LB,22
4,135,SFO,Joe Cohen,DT,23
4,136,IND,Clint Session,LB,22
4,137,BAL,Le'Ron McClain,RB,22
5,138,OAK,Jay Richardson,DE,23
5,139,STL,Dustin Fry,C,23
5,140,CLE,Brandon McDonald,DB,22
5,141,TAM,Greg Peterson,DE,23
5,142,ARI,Steve Breaston,WR,24
5,143,WAS,Dallas Sartz,LB,
5,144,HOU,Brandon Harrison,DB,22
5,145,NOR,David Jones,DB,21
5,146,MIN,Aundrae Allison,WR,21
5,147,SFO,Tarell Brown,DB,22
5,148,KAN,Kolby Smith,RB,22
5,149,JAX,Uche Nwaneri,G,23
5,150,JAX,Josh Gattis,DB,23
5,151,CIN,Jeff Rowe,QB,23
5,152,TEN,Antonio Johnson,DT,22
5,153,NYG,Kevin Boss,TE,23
5,154,STL,Clifton Ryan,DT,23
5,155,CAR,Dante Rosario,TE,22
5,156,PIT,Cameron Stephenson,G,
5,157,GNB,David Clowney,WR,22
5,158,DET,Johnny Baldwin,LB,23
5,159,PHI,C.J. Gaddis,DB,
5,160,KAN,Justin Medlock,K,23
5,161,SEA,Will Herring,LB,24
5,162,PHI,Brent Celek,TE,22
5,163,HOU,Brandon Frye,T,24
5,164,CAR,Tim Shaw,LB,23
5,165,OAK,Eric Frampton,DB,23
5,166,JAX,Derek Landri,DT,23
5,167,CHI,Kevin Payne,DB,23
5,168,CHI,Corey Graham,DB,22
5,169,IND,Roy Hall,WR,23
5,170,PIT,William Gay,DB,22
5,171,NWE,Clint Oldenburg,T,23
5,172,SDG,Legedu Naanee,WR,23
5,173,IND,Michael Coe,DB,23
5,174,BAL,Troy Smith,QB,23
6,175,OAK,Oren O'Neal,FB,23
6,176,MIN,Rufus Alexander,LB,24
6,177,NYJ,Jacob Bender,T,22
6,178,DAL,Nick Folk,K,22
6,179,WAS,H.B. Blades,LB,22
6,180,NWE,Justin Rogers,LB,24
6,181,MIA,Reagan Maui'a,RB,23
6,182,TAM,Adam Hayward,LB,23
6,183,HOU,Kasey Studdard,G,23
6,184,BUF,John Wendling,DB,24
6,185,ATL,Trey Lewis,DT,22
6,186,SFO,Thomas Clayton,RB,
6,187,CIN,Matt Toeaina,DT,22
6,188,TEN,Joel Filani,WR,
6,189,NYG,Adam Koets,T,23
6,190,STL,Ken Shackleford,T,
6,191,GNB,Korey Hall,LB,24
6,192,GNB,Desmond Bishop,LB,23
6,193,GNB,Mason Crosby,K,23
6,194,ATL,David Irons,DB,24
6,195,DAL,Deon Anderson,FB,24
6,196,KAN,Herbert Taylor,T,22
6,197,SEA,Courtney Taylor,WR,23
6,198,ATL,Doug Datish,C,
6,199,MIA,Drew Mormino,C,
6,200,CLE,Melila Purcell,DE,
6,201,PHI,Rashad Barksdale,DB,23
6,202,NWE,Mike Richardson,DB,23
6,203,ATL,Daren Stone,DB,22
6,204,TEN,Jacob Ford,DE,24
6,205,WAS,Jordan Palmer,QB,23
6,206,TEN,Ryan Smith,DB,
6,207,BAL,Prescott Burgess,LB,23
6,208,NWE,Justise Hairston,RB,
6,209,NWE,Corey Hilliard,T,22
6,210,SEA,Jordan Kent,WR,23
7,211,NWE,Oscar Lua,LB,
7,212,DAL,Courtney Brown,DB,23
7,213,CLE,Chase Pittman,DE,
7,214,TAM,Chris Denman,T,
7,215,ARI,Ben Patrick,TE,23
7,216,WAS,Tyler Ecker,TE,
7,217,MIN,Tyler Thigpen,QB,23
7,218,HOU,Zach Diles,LB,22
7,219,MIA,Kelvin Smith,LB,23
7,220,NOR,Marvin Mitchell,LB,22
7,221,CHI,Trumaine McBride,DB,21
7,222,BUF,Derek Schouman,TE,22
7,223,TEN,Michael Otto,T,24
7,224,NYG,Michael Johnson,DB,23
7,225,MIA,Brandon Fields,P,23
7,226,CAR,C.J. Wilson,DB,22
7,227,PIT,Dallas Baker,WR,24
7,228,GNB,DeShawn Wynn,RB,23
7,229,JAX,John Broussard,WR,23
7,230,CIN,Dan Santucci,G,24
7,231,KAN,Michael Allan,TE,
7,232,SEA,Steve Vallos,G,23
7,233,MIN,Chandler Williams,WR,
7,234,CLE,Syndric Steptoe,WR,22
7,235,NYJ,Chansi Stuckey,WR,23
7,236,PHI,Nate Ilaoa,RB,
7,237,DAL,Alan Ball,DB,22
7,238,MIA,Abraham Wright,DE,
7,239,BUF,C.J. Ah You,DE,25
7,240,SDG,Brandon Siler,LB,21
7,241,CHI,Aaron Brant,G,
7,242,IND,Keyunta Dawson,DE,21
7,243,GNB,Clark Harris,TE,23
7,244,ATL,Jason Snelling,RB,23
7,245,TAM,Marcus Hamilton,DB,23
7,246,TAM,Kenneth Darby,RB,24
7,247,NWE,Mike Elgin,G,
7,248,STL,Keith Jackson,DT,
7,249,STL,Derek Stanley,WR,22
7,250,NYG,Ahmad Bradshaw,RB,21
7,251,JAX,Chad Nkang,LB,22
7,252,JAX,Andrew Carnahan,T,
7,253,CIN,Nedu Ndukwe,DB,22
7,254,OAK,Jonathan Holland,WR,22
7,255,DET,Ramzee Robinson,DB,23
