Rnd,Pick,Tm,Player,Pos,Age
1,1,JAX,Trevor Lawrence,QB,21
1,2,NYJ,Zach Wilson,QB,22
1,3,SFO,Trey Lance,QB,21
1,4,ATL,Kyle Pitts,TE,20
1,5,CIN,Ja'Marr Chase,WR,21
1,6,MIA,Jaylen Waddle,WR,22
1,7,DET,Penei Sewell,OL,20
1,8,CAR,Jaycee Horn,DB,21
1,9,DEN,Patrick Surtain II,DB,21
1,10,PHI,DeVonta Smith,WR,22
1,11,CHI,Justin Fields,QB,22
1,12,DAL,Micah Parsons,LB,22
1,13,LAC,Rashawn Slater,OL,22
1,14,NYJ,Alijah Vera-Tucker,OL,22
1,15,NWE,Mac Jones,QB,23
1,16,ARI,Zaven Collins,LB,22
1,17,LVR,Alex Leatherwood,OL,22
1,18,MIA,Jaelan Phillips,DL,22
1,19,WAS,Jamin Davis,LB,22
1,20,NYG,Kadarius Toney,WR,22
1,21,IND,Kwity Paye,DL,22
1,22,TEN,Caleb Farley,DB,22
1,23,MIN,Christian Darrisaw,OL,22
1,24,PIT,Najee Harris,RB,23
1,25,JAX,Travis Etienne,RB,22
1,26,CLE,Greg Newsome II,DB,21
1,27,BAL,Rashod Bateman,WR,21
1,28,NOR,Payton Turner,DE,23
1,29,GNB,Eric Stokes,DB,22
1,30,BUF,Gregory Rousseau,DL,21
1,31,BAL,Odafe Oweh,DE,22
1,32,TAM,Joe Tryon-Shoyinka,OLB,22
2,33,JAX,Tyson Campbell,DB,21
2,34,NYJ,Elijah Moore,WR,21
2,35,DEN,Javonte Williams,RB,21
2,36,MIA,Jevon Holland,S,21
2,37,PHI,Landon Dickerson,OL,22
2,38,NWE,Christian Barmore,DL,22
2,39,CHI,Teven Jenkins,OL,23
2,40,ATL,Richie Grant,DB,23
2,41,DET,Levi Onwuzurike,DL,23
2,42,MIA,Liam Eichenberg,OL,23
2,43,LVR,Tre'von Moehrig,S,22
2,44,DAL,Kelvin Joseph,DB,20
2,45,JAX,Walker Little,T,22
2,46,CIN,Jackson Carman,T,21
2,47,LAC,Asante Samuel Jr.,DB,21
2,48,SFO,Aaron Banks,OL,24
2,49,ARI,Rondale Moore,WR,21
2,50,NYG,Azeez Ojulari,OLB,21
2,51,WAS,Samuel Cosmi,OL,22
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21
2,53,TEN,Dillon Radunz,T,23
2,54,IND,Dayo Odeyingbo,DL,21
2,55,PIT,Pat Freiermuth,TE,22
2,56,SEA,D'Wayne Eskridge,WR,24
2,57,LAR,Tutu Atwell,WR,21
2,58,KAN,Nick Bolton,LB,21
2,59,CAR,Terrace Marshall Jr.,WR,21
2,60,NOR,Pete Werner,LB,22
2,61,BUF,Boogie Basham,DL,23
2,62,GNB,Josh Myers,C,23
2,63,KAN,Creed Humphrey,OL,22
2,64,TAM,Kyle Trask,QB,23
3,65,JAX,Andre Cisco,DB,21
3,66,MIN,Kellen Mond,QB,22
3,67,HOU,Davis Mills,QB,22
3,68,ATL,Jalen Mayfield,OL,21
3,69,CIN,Joseph Ossai,LB,21
3,70,CAR,Brady Christensen,OL,24
3,71,NYG,Aaron Robinson,DB,23
3,72,DET,Alim McNeill,DT,21
3,73,PHI,Milton Williams,DL,22
3,74,WAS,Benjamin St-Juste,DB,23
3,75,DAL,Osa Odighizuwa,DL,23
3,76,NOR,Paulson Adebo,CB,22
3,77,LAC,Josh Palmer,WR,22
3,78,MIN,Chazz Surratt,LB,24
3,79,LVR,Malcolm Koonce,DE,23
3,80,LVR,Divine Deablo,DB,23
3,81,MIA,Hunter Long,TE,23
3,82,WAS,Dyami Brown,WR,21
3,83,CAR,Tommy Tremble,TE,21
3,84,DAL,Chauncey Golston,DL,23
3,85,GNB,Amari Rodgers,WR,21
3,86,MIN,Wyatt Davis,OL,22
3,87,PIT,Kendrick Green,OL,22
3,88,SFO,Trey Sermon,RB,22
