Rnd,Pick,Tm,Player,Pos,Age
1,1,HOU,Mario Williams,DE,21
1,2,NOR,Reggie Bush,RB,21
1,3,TEN,Vince Young,QB,23
1,4,NYJ,D'Brickashaw Ferguson,T,22
1,5,GNB,A.J. Hawk,LB,22
1,6,SFO,Vernon Davis,TE,22
1,7,OAK,Michael Huff,DB,23
1,8,BUF,Donte Whitner,DB,21
1,9,DET,Ernie Sims,LB,21
1,10,ARI,Matt Leinart,QB,23
1,11,DEN,Jay Cutler,QB,23
1,12,BAL,Haloti Ngata,DT,22
1,13,CLE,Kamerion Wimbley,DE,22
1,14,PHI,Brodrick Bunkley,DT,22
1,15,STL,Tye Hill,DB,24
1,16,MIA,Jason Allen,DB,23
1,17,MIN,Chad Greenway,LB,23
1,18,DAL,Bobby Carpenter,LB,23
1,19,SDG,Antonio Cromartie,DB,22
1,20,KAN,Tamba Hali,DE,22
1,21,NWE,Laurence Maroney,RB,21
1,22,SFO,Manny Lawson,DE,22
1,23,TAM,Davin Joseph,G,22
1,24,CIN,Johnathan Joseph,DB,22
1,25,PIT,Santonio Holmes,WR,22
1,26,BUF,John McCargo,DT,23
1,27,CAR,DeAngelo Williams,RB,23
1,28,JAX,Marcedes Lewis,TE,22
1,29,NYJ,Nick Mangold,C,22
1,30,IND,Joseph Addai,RB,23
1,31,SEA,Kelly Jennings,DB,23
1,32,NYG,Mathias Kiwanuka,DE,23
2,33,HOU,DeMeco Ryans,LB,22
2,34,CLE,D'Qwell Jackson,LB,22
2,35,WAS,Rocky McIntosh,LB,23
2,36,NWE,Chad Jackson,WR,21
2,37,ATL,Jimmy Williams,DB,22
2,38,OAK,Thomas Howard,LB,23
2,39,PHI,Winston Justice,T,21
2,40,DET,Daniel Bullocks,DB,23
2,41,ARI,Deuce Lutui,G,23
2,42,CHI,Danieal Manning,DB,24
2,43,NOR,Roman Harper,DB,23
2,44,NYG,Sinorice Moss,WR,22
2,45,TEN,LenDale White,RB,21
2,46,STL,Joe Klopfenstein,TE,22
2,47,GNB,Daryn Colledge,T,24
2,48,MIN,Cedric Griffin,DB,23
2,49,NYJ,Kellen Clemens,QB,23
2,50,SDG,Marcus McNeill,T,22
2,51,MIN,Ryan Cook,C,23
2,52,GNB,Greg Jennings,WR,22
2,53,DAL,Anthony Fasano,TE,22
2,54,KAN,Bernard Pollard,DB,21
2,55,CIN,Andrew Whitworth,T,24
2,56,BAL,Chris Chester,G,23
2,57,CHI,Devin Hester,DB,23
2,58,CAR,Richard Marshall,DB,21
