Rnd,Pick,Tm,Player,Pos,Age
1,1,CIN,Joe Burrow,QB,23
1,2,WAS,Chase Young,DE,21
1,3,DET,Jeff Okudah,CB,21
1,4,NYG,Andrew Thomas,T,21
1,5,MIA,Tua Tagovailoa,QB,22
1,6,LAC,Justin Herbert,QB,22
1,7,CAR,Derrick Brown,DT,22
1,8,ARI,Isaiah Simmons,LB,22
1,9,JAX,C.J. Henderson,CB,21
1,10,CLE,Jedrick Wills Jr.,T,21
1,11,NYJ,Mekhi Becton,T,21
1,12,LVR,Henry Ruggs III,WR,21
1,13,TAM,Tristan Wirfs,T,21
1,14,SFO,Javon Kinlaw,DT,22
1,15,DEN,Jerry Jeudy,WR,21
1,16,ATL,AJ Terrell,CB,21
1,17,DAL,CeeDee Lamb,WR,21
1,18,MIA,Austin Jackson,T,21
1,19,LVR,Damon Arnette,CB,24
1,20,JAX,K'Lavon Chaisson,DE,21
1,21,PHI,Jalen Reagor,WR,21
1,22,MIN,Justin Jefferson,WR,21
1,23,LAC,Kenneth Murray,LB,21
1,24,NOR,Cesar Ruiz,C,21
1,25,SFO,Brandon Aiyuk,WR,22
1,26,GNB,Jordan Love,QB,21
1,27,SEA,Jordyn Brooks,LB,22
1,28,BAL,Patrick Queen,LB,21
1,29,TEN,Isaiah Wilson,T,21
1,30,MIA,Noah Igbinoghene,CB,20
1,31,MIN,Jeff Gladney,CB,23
1,32,KAN,Clyde Edwards-Helaire,RB,21
2,33,CIN,Tee Higgins,WR,21
2,34,IND,Michael Pittman Jr.,WR,22
2,35,DET,D'Andre Swift,RB,21
2,36,NYG,Xavier McKinney,S,21
2,37,NWE,Kyle Dugger,S,24
2,38,CAR,Yetur Gross-Matos,DE,22
2,39,MIA,Robert Hunt,G,24
2,40,HOU,Ross Blacklock,DT,22
2,41,IND,Jonathan Taylor,RB,21
2,42,JAX,Laviska Shenault Jr.,WR,21
2,43,CHI,Cole Kmet,TE,21
2,44,CLE,Grant Delpit,S,21
2,45,TAM,Antoine Winfield Jr.,S,22
2,46,DEN,KJ Hamler,WR,21
2,47,ATL,Marlon Davidson,DE,22
2,48,SEA,Darrell Taylor,DE,23
2,49,PIT,Chase Claypool,WR,22
2,50,CHI,Jaylon Johnson,CB,21
2,51,DAL,Trevon Diggs,CB,21
2,52,LAR,Cam Akers,RB,21
2,53,PHI,Jalen Hurts,QB,22
2,54,BUF,A.J. Epenesa,DE,21
