Rnd,Pick,Tm,Player,Pos,Age
1,1,CLE,Courtney Brown,DE,22
1,2,WAS,LaVar Arrington,LB,22
1,3,WAS,Chris Samuels,T,23
1,4,CIN,Peter Warrick,WR,23
1,5,BAL,Jamal Lewis,RB,21
1,6,PHI,Corey Simon,DT,23
1,7,ARI,Thomas Jones,RB,22
1,8,PIT,Plaxico Burress,WR,23
1,9,CHI,Brian Urlacher HOF,LB,22
1,10,BAL,Travis Taylor,WR,22
1,11,NYG,Ron Dayne,RB,22
1,12,NYJ,Shaun Ellis,DE,23
1,13,NYJ,John Abraham,DE,22
1,14,GNB,Bubba Franks,TE,22
1,15,DEN,Deltha O'Neal,DB,23
1,16,SFO,Julian Peterson,LB,22
1,17,OAK,Sebastian Janikowski,K,22
1,18,NYJ,Chad Pennington,QB,24
1,19,SEA,Shaun Alexander,RB,23
1,20,DET,Stockar McDougle,T,23
1,21,KAN,Sylvester Morris,WR,22
1,22,SEA,Chris McIntosh,T,23
1,23,CAR,Rashard Anderson,DB,23
1,24,SFO,Ahmed Plummer,DB,24
1,25,MIN,Chris Hovan,DT,22
1,26,BUF,Erik Flowers,DE,22
1,27,NYJ,Anthony Becht,TE,23
1,28,IND,Rob Morris,LB,25
1,29,JAX,R. Jay Soward,WR,22
1,30,TEN,Keith Bulluck,LB,23
1,31,STL,Trung Canidate,RB,23
2,32,CLE,Dennis Northcutt,WR,22
2,33,NOR,Darren Howard,DE,23
2,34,CIN,Mark Roman,DB,23
2,35,SFO,John Engelberger,DE,23
2,36,PHI,Todd Pinkston,WR,23
2,37,ATL,Travis Claridge,G,22
2,38,PIT,Marvel Smith,T,22
2,39,CHI,Mike Brown,DB,22
2,40,DEN,Ian Gold,LB,22
2,41,ARI,Raynoch Thompson,LB,22
2,42,NYG,Cornelius Griffin,DT,23
2,43,SDG,Rogers Beckett,DB,23
2,44,GNB,Chad Clifton,T,24
2,45,DEN,Kenoy Kennedy,DB,22
2,46,NWE,Adrian Klemm,G,23
2,47,OAK,Jerry Porter,WR,22
2,48,SFO,Jason Webster,DB,22
2,49,DAL,Dwayne Goodrich,DB,22
2,50,DET,Barrett Green,LB,22
2,51,TAM,Cosey Coleman,G,21
2,52,SEA,Ike Charlton,DB,22
2,53,MIA,Todd Wade,T,23
2,54,KAN,William Bartee,DB,23
2,55,MIN,Fred Robbins,DT,23
2,56,MIN,Michael Boireau,DE,
2,57,CAR,Deon Grant,DB,21
2,58,BUF,Travares Tillman,DB,22
2,59,IND,Marcus Washington,LB,22
2,60,JAX,Brad Meester,C,23
2,61,PHI,Bobbie Williams,G,23
2,62,STL,Jacoby Shepherd,DB,21
3,63,CLE,Travis Prentice,RB,23
3,64,WAS,Lloyd Harrison,DB,23
3,65,SFO,Giovanni Carmazzi,QB,
3,66,CIN,Ron Dugans,WR,23
3,67,ATL,Mark Simoneau,LB,23
3,68,TEN,Erron Kinney,TE,23
3,69,CHI,Dez White,WR,21
3,70,DEN,Chris Cole,WR,22
3,71,ARI,Darwin Walker,DT,23
3,72,PIT,Kendrick Clancy,DT,21
3,73,NYG,Ron Dixon,WR,24
3,74,GNB,Steve Warren,DT,22
3,75,BAL,Chris Redman,QB,23
3,76,NWE,J.R. Redmond,RB,22
3,77,PIT,Hank Poteat,DB,23
3,78,NYJ,Laveranues Coles,WR,22
3,79,CLE,JaJuan Dawson,WR,22
3,80,SEA,Darrell Jackson,WR,21
3,81,DET,Reuben Droughns,RB,22
3,82,CAR,Leander Jordan,T,22
3,83,SDG,Damion McIntosh,T,23
3,84,MIA,Ben Kelly,DB,21
3,85,KAN,Greg Wesley,DB,22
3,86,SFO,Jeff Ulbrich,LB,23
3,87,CHI,Dustin Lyman,TE,24
3,88,MIN,Doug Chapman,RB,23
3,89,BUF,Corey Moore,LB,23
3,90,TAM,Nate Webster,LB,22
3,91,IND,David Macklin,DB,22
3,92,JAX,T.J. Slaughter,LB,23
3,93,TEN,Byron Frisch,DE,23
3,94,STL,John St. Clair,T,23
4,95,CLE,Lewis Sanders,DB,22
4,96,NOR,Terrelle Smith,FB,22
4,97,CIN,Curtis Keaton,RB,23
4,98,GNB,Na'il Diggs,LB,22
4,99,PHI,Gari Scott,WR,22
4,100,ATL,Michael Thompson,T,23
4,101,DEN,Jerry Johnson,DT,23
4,102,ARI,David Barrett,DB,22
4,103,PIT,Danny Farmer,WR,23
4,104,STL,Kaulana Noa,T,
4,105,NYG,Brandon Short,LB,23
4,106,MIN,Antonio Wilson,LB,22
4,107,OAK,Junior Ioane,DT,23
4,108,SFO,John Keith,DB,23
4,109,DAL,Kareem Larrimore,DB,24
4,110,CLE,Aaron Shea,TE,23
4,111,SDG,Trevor Gaylor,WR,22
4,112,DEN,Cooper Carlisle,G,23
4,113,SDG,Leonardo Carson,DT,23
4,114,GNB,Anthony Lucas,WR,
4,115,KAN,Frank Moreau,RB,23
4,116,SEA,Marcus Bell,LB,23
4,117,MIA,Deon Dyer,FB,22
4,118,MIN,Tyrone Carter,DB,24
4,119,SEA,Isaiah Kacyvenski,LB,22
4,120,CAR,Alvin McKinley,DE,22
4,121,BUF,Avion Black,WR,23
4,122,IND,Josh Williams,DT,24
4,123,JAX,Joey Chustz,T,
4,124,TEN,Bobby Myers,DB,23
4,125,CHI,Reggie Austin,DB,23
4,126,GNB,Gary Berry,DB,22
4,127,NWE,Greg Randall,T,22
4,128,TEN,Peter Sirmon,LB,23
4,129,WAS,Michael Moore,G,23
5,130,CLE,Anthony Malbrough,DB,23
5,131,NOR,Tutan Reyes,G,22
5,132,SFO,Paul Smith,RB,22
5,133,CIN,Robert Bean,DB,22
5,134,ATL,Anthony Midget,DB,
5,135,TEN,Aric Morris,DB,23
5,136,ARI,Mao Tosi,DT,23
5,137,PIT,Clark Haggans,LB,23
5,138,IND,Matt Johnson,G,
5,139,STL,Brian Young,DT,23
5,140,NYG,Ralph Brown,DB,21
5,141,NWE,Dave Stachelski,TE,23
5,142,OAK,Shane Lechler,P,24
5,143,NYJ,Windrell Hayes,WR,23
5,144,DAL,Michael Wiley,RB,22
5,145,DET,Todd Franz,DB,24
5,146,CLE,Lamar Chapman,DB,23
5,147,CAR,Gillis Wilson,DE,22
5,148,BAL,Richard Mercier,G,
5,149,GNB,Kabeer Gbaja-Biamila,DE,22
5,150,SFO,John Milem,DE,25
5,151,GNB,Joey Jamison,WR,
5,152,MIA,Arturo Freeman,DB,23
5,153,KAN,Dante Hall,WR,21
5,154,DEN,Muneer Moore,WR,
5,155,WAS,Quincy Sanders,DB,
5,156,BUF,Sammy Morris,RB,23
5,157,TAM,James Whalen,TE,22
5,158,NOR,Austin Wheatley,TE,22
5,159,JAX,Kiwaukee Thomas,DB,23
5,160,TEN,Frank Chamberlin,LB,22
5,161,NWE,Jeff Marriott,DT,
5,162,KAN,Pat Dennis,DB,22
5,163,PIT,Tee Martin,QB,22
5,164,ARI,Jay Tant,TE,22
5,165,MIN,Troy Walters,WR,23
5,166,NOR,Chad Morton,RB,23
6,167,MIA,Ernest Grant,DT,24
6,168,NOR,Marc Bulger,QB,23
6,169,CIN,Neil Rackers,K,24
6,170,CHI,Frank Murphy,WR,23
6,171,PHI,Thomas Hamner,RB,
6,172,ATL,Mareno Philyaw,WR,22
6,173,PIT,Chris Combs,DE,23
6,174,CHI,Paul Edinger,K,22
6,175,SEA,James Williams,WR,22
6,176,ARI,Jabari Issa,DE,22
6,177,NYG,Dhani Jones,LB,22
6,178,PHI,John Frank,DE,
6,179,NYJ,Tony Scott,DB,23
6,180,DAL,Mario Edwards,DB,24
6,181,DET,Quinton Reese,DE,
6,182,CAR,Jeno James,G,23
6,183,CLE,Spergon Wynn,QB,22
6,184,SDG,Shannon Taylor,LB,25
6,185,SEA,Tim Watson,DT,
6,186,BAL,Adalius Thomas,LB,23
6,187,NWE,Antwan Harris,DB,23
6,188,KAN,Darnell Alford,G,23
6,189,DEN,Mike Anderson,RB,26
6,190,SEA,John Hilliard,DE,24
6,191,BAL,Cedric Woodard,DT,23
6,192,PHI,John Romero,C,
6,193,TAM,David Gibson,DB,22
6,194,BUF,Leif Larsen,DT,25
6,195,NOR,Michael Hawthorne,DB,23
6,196,JAX,Emanuel Smith,WR,24
6,197,TEN,Robaire Smith,DE,22
6,198,STL,Matt Bowen,DB,23
6,199,NWE,Tom Brady,QB,23
6,200,NOR,Sherrod Gideon,WR,
6,201,NWE,David Nugent,DE,22
6,202,WAS,Todd Husak,QB,22
6,203,SDG,Damen Wheeler,DB,23
6,204,PIT,Jason Gavadza,TE,
6,205,SDG,JaJuan Seider,QB,
6,206,CLE,Brad Bedell,T,23
7,207,CLE,Manuia Savea,G,
7,208,KAN,Desmond Kitchings,WR,
7,209,CLE,Eric Chandler,DE,
7,210,CIN,Brad St. Louis,TE,24
7,211,ATL,Darrick Vaughn,DB,21
7,212,SFO,Tim Rattay,QB,23
7,213,TEN,Mike Green,RB,24
7,214,DEN,Jarious Jackson,QB,23
7,215,ARI,Sekou Sanyika,LB,22
7,216,WAS,Delbert Cowsette,DT,23
7,217,NYG,Jeremiah Parker,DE,22
7,218,NYJ,Richard Seals,DT,
7,219,DAL,Orantes Grant,LB,22
7,220,STL,Andrew Kline,G,
7,221,CAR,Lester Towns,LB,23
7,222,SDG,Jason Thomas,G,23
7,223,CHI,James Cotton,LB,
7,224,GNB,Mark Tauscher,T,23
7,225,CLE,Rashidi Barnes,DB,22
7,226,NWE,Casey Tisdale,LB,
7,227,OAK,Mondriel Fulcher,TE,23
7,228,NOR,Kevin Houser,C,23
7,229,GNB,Ron Moore,DT,23
7,230,SFO,Brian Jennings,TE,23
7,231,OAK,Clifton Black,DB,
7,232,MIA,Jeff Harris,DB,
7,233,BUF,Drew Haddad,WR,22
7,234,TAM,Joe Hamilton,QB,23
7,235,IND,Rob Renes,DT,
7,236,JAX,Erik Olson,DB,23
7,237,TEN,Wes Shivers,T,23
7,238,IND,Rodregis Brooks,DB,22
7,239,NWE,Patrick Pass,FB,22
7,240,MIN,Mike Malano,C,
7,241,JAX,Rob Meier,DE,23
7,242,GNB,Charles Lee,WR,22
7,243,JAX,Shyrone Stith,RB,22
7,244,MIN,Giles Cole,TE,
7,245,JAX,Danny Clark,LB,23
7,246,DEN,Leroy Fields,WR,
7,247,JAX,Mark Baniewicz,T,
7,248,MIN,Lewis Kelly,T,23
7,249,GNB,Eugene McCaslin,LB,23
7,250,WAS,Ethan Howell,WR,
7,251,BUF,DaShon Polk,LB,23
7,252,GNB,Rondell Mealey,RB,23
7,253,DET,Alfonso Boone,DT,24
7,254,CHI,Michael Green,DB,23
