Rnd,Pick,Tm,Player,Pos,Age
1,1,SFO,Alex Smith,QB,21
1,2,MIA,Ronnie Brown,RB,23
1,3,CLE,Braylon Edwards,WR,22
1,4,CHI,Cedric Benson,RB,22
1,5,TAM,Cadillac Williams,RB,23
1,6,TEN,Adam Jones,DB,21
1,7,MIN,Troy Williamson,WR,22
1,8,ARI,Antrel Rolle,DB,22
1,9,WAS,Carlos Rogers,DB,24
1,10,DET,Mike Williams,WR,21
1,11,DAL,DeMarcus Ware HOF,LB,23
1,12,SDG,Shawne Merriman,LB,21
1,13,NOR,Jammal Brown,T,24
1,14,CAR,Thomas Davis,LB,22
1,15,KAN,Derrick Johnson,LB,22
1,16,HOU,Travis Johnson,DT,23
1,17,CIN,David Pollack,LB,23
1,18,MIN,Erasmus James,DE,22
1,19,STL,Alex Barron,T,22
1,20,DAL,Marcus Spears,DE,22
1,21,JAX,Matt Jones,WR,22
1,22,BAL,Mark Clayton,WR,23
1,23,OAK,Fabian Washington,DB,22
1,24,GNB,Aaron Rodgers,QB,21
1,25,WAS,Jason Campbell,QB,23
1,26,SEA,Chris Spencer,C,23
1,27,ATL,Roddy White,WR,23
1,28,SDG,Luis Castillo,DE,22
1,29,IND,Marlin Jackson,DB,22
1,30,PIT,Heath Miller,TE,22
1,31,PHI,Mike Patterson,DT,22
1,32,NWE,Logan Mankins,G,23
2,33,SFO,David Baas,G,23
2,34,CLE,Brodney Pool,DB,21
2,35,PHI,Reggie Brown,WR,24
2,36,TAM,Barrett Ruud,LB,22
2,37,DET,Shaun Cody,DT,22
2,38,OAK,Stanford Routt,DB,22
2,39,CHI,Mark Bradley,WR,23
2,40,NOR,Josh Bullocks,DB,22
2,41,TEN,Michael Roos,T,22
2,42,DAL,Kevin Burnett,LB,22
2,43,NYG,Corey Webster,DB,23
2,44,ARI,J.J. Arrington,RB,22
2,45,SEA,Lofa Tatupu,LB,22
2,46,MIA,Matt Roth,DE,22
2,47,NYJ,Mike Nugent,K,23
2,48,CIN,Odell Thurman,LB,22
2,49,MIN,Marcus Johnson,G,21
2,50,STL,Ron Bartell,DB,23
2,51,GNB,Nick Collins,DB,22
2,52,JAX,Khalif Barnes,T,23
2,53,BAL,Dan Cody,DE,23
2,54,CAR,Eric Shelton,RB,22
2,55,BUF,Roscoe Parrish,WR,23
2,56,DEN,Darrent Williams,DB,22
2,57,NYJ,Justin Miller,DB,21
2,58,GNB,Terrence Murphy,WR,22
2,59,ATL,Jonathan Babineaux,DE,23
2,60,IND,Kelvin Hayden,DB,22
2,61,SDG,Vincent Jackson,WR,22
2,62,PIT,Bryant McFadden,DB,23
2,63,PHI,Matt McCoy,LB,22
2,64,BAL,Adam Terry,T,23
3,65,SFO,Frank Gore,RB,22
3,66,STL,O.J. Atogwe,DB,24
3,67,CLE,Charlie Frye,QB,24
3,68,TEN,Courtney Roby,WR,22
3,69,OAK,Andrew Walter,QB,23
3,70,MIA,Channing Crowder,LB,21
3,71,TAM,Alex Smith,TE,23
3,72,DET,Stanley Wilson,DB,22
3,73,HOU,Vernand Morency,RB,25
3,74,NYG,Justin Tuck,DE,22
3,75,ARI,Eric Green,DB,23
3,76,DEN,Karl Paymah,DB,22
3,77,PHI,Ryan Moats,RB,22
3,78,OAK,Kirk Morrison,LB,23
3,79,CAR,Evan Mathis,G,23
3,80,MIN,Dustin Fox,DB,22
3,81,STL,Richie Incognito,G,22
3,82,NOR,Alfred Fincher,LB,22
3,83,CIN,Chris Henry,WR,22
3,84,NWE,Ellis Hobbs,DB,22
3,85,SEA,David Greene,QB,
3,86,BUF,Kevin Everett,TE,23
3,87,JAX,Scott Starks,DB,22
3,88,NYJ,Sione Pouha,DT,26
3,89,CAR,Atiyyah Ellison,DT,23
3,90,ATL,Jordan Beck,LB,22
3,91,TAM,Chris Colmer,T,
3,92,IND,Vincent Burns,DE,
3,93,PIT,Trai Essex,T,22
3,94,SFO,Adam Snyder,T,23
3,95,ARI,Darryl Blackstock,LB,22
3,96,TEN,Brandon Jones,WR,23
3,97,DEN,Domonique Foxworth,DB,22
3,98,SEA,LeRoy Hill,LB,22
3,99,KAN,Dustin Colquitt,P,23
3,100,NWE,Nick Kaczur,T,26
3,101,DEN,Maurice Clarett,RB,
4,102,PHI,Sean Considine,DB,22
4,103,CLE,Antonio Perkins,DB,23
4,104,MIA,Travis Daniels,DB,22
4,105,SEA,Ray Willis,T,23
4,106,CHI,Kyle Orton,QB,22
4,107,TAM,Dan Buenning,G,23
4,108,TEN,Vincent Fuller,DB,23
4,109,DAL,Marion Barber III,RB,22
4,110,NYG,Brandon Jacobs,RB,23
4,111,ARI,Elton Brown,G,23
4,112,MIN,Ciatrick Fason,RB,22
4,113,TEN,David Stewart,T,23
4,114,HOU,Jerome Mathis,WR,22
4,115,GNB,Marviel Underwood,DB,23
4,116,KAN,Craphonso Thorpe,WR,22
4,117,STL,Jerome Carter,DB,22
4,118,NOR,Chase Lyman,WR,
4,119,CIN,Eric Ghiaciuc,C,24
4,120,WAS,Manuel White,RB,
4,121,CAR,Stefan Lefors,QB,
4,122,BUF,Duke Preston,C,23
4,123,NYJ,Kerry Rhodes,DB,23
4,124,BAL,Jason Brown,C,22
4,125,GNB,Brady Poppinga,LB,25
4,126,PHI,Todd Herremans,T,22
4,127,JAX,Alvin Pearman,RB,23
4,128,ATL,Chauncey Davis,DE,22
4,129,IND,Dylan Gandy,G,23
4,130,SDG,Darren Sproles,RB,22
4,131,PIT,Fred Gibson,WR,
4,132,DAL,Chris Canty,DE,22
4,133,NWE,James Sanders,DB,21
4,134,STL,Claude Terrell,G,23
4,135,IND,Matt Giordano,DB,22
4,136,TEN,Roydell Williams,WR,24
5,137,SFO,Ronald Fields,DT,23
5,138,KAN,Boomer Grigsby,LB,23
5,139,CLE,David McMillan,DE,23
5,140,CHI,Airese Currie,WR,22
5,141,TAM,Donte Nicholson,DB,23
5,142,TEN,Damien Nash,RB,23
5,143,GNB,Junius Coston,G,21
5,144,STL,Jerome Collins,TE,23
5,145,DET,Dan Orlovsky,QB,22
5,146,PHI,Trent Cole,DE,22
5,147,KAN,Alphonso Hodge,DB,
5,148,IND,Jonathan Welsh,DE,23
5,149,CAR,Adam Seward,LB,23
5,150,TEN,Daniel Loper,T,23
5,151,HOU,Drew Hodgdon,C,23
5,152,NOR,Adrian McPherson,QB,
5,153,CIN,Adam Kieft,T,
5,154,WAS,Robert McCune,LB,26
5,155,TAM,Larry Brackins,WR,
5,156,BUF,Eric King,DB,23
5,157,JAX,Gerald Sensabaugh,DB,22
5,158,BAL,Justin Green,FB,23
5,159,SEA,Jeb Huckeba,LB,
5,160,ATL,Michael Boley,LB,23
5,161,NYJ,Andre Maddox,DB,
5,162,MIA,Anthony Alabi,T,24
5,163,ATL,Frank Omiyale,T,22
5,164,SDG,Wesley Britt,T,23
5,165,IND,Robert Hunt,C,
5,166,PIT,Rian Wallace,LB,23
5,167,GNB,Michael Hawkins,DB,22
5,168,ARI,Lance Mitchell,LB,23
5,169,CAR,Geoff Hangartner,C,23
5,170,NWE,Ryan Claridge,LB,
5,171,CAR,Ben Emanuel,DB,23
5,172,PHI,Scott Young,G,24
5,173,IND,Tyjuan Hagler,LB,23
5,174,SFO,Rasheed Marshall,WR,24
6,175,OAK,Anttaj Hawthorne,DT,23
6,176,CLE,Nick Speegle,LB,23
6,177,SDG,Wes Sims,G,24
6,178,TAM,Anthony Bryant,DT,23
