Rnd,Pick,Tm,Player,Pos,Age
1,1,HOU,Jadeveon Clowney,DE,21
1,2,STL,Greg Robinson,T,21
1,3,JAX,Blake Bortles,QB,22
1,4,BUF,Sammy Watkins,WR,21
1,5,OAK,Khalil Mack,LB,23
1,6,ATL,Jake Matthews,T,22
1,7,TAM,Mike Evans,WR,21
1,8,CLE,Justin Gilbert,DB,22
1,9,MIN,Anthony Barr,LB,22
1,10,DET,Eric Ebron,TE,21
1,11,TEN,Taylor Lewan,T,23
1,12,NYG,Odell Beckham Jr.,WR,21
1,13,STL,Aaron Donald,DT,23
1,14,CHI,Kyle Fuller,DB,22
1,15,PIT,Ryan Shazier,LB,22
1,16,DAL,Zack Martin,G,23
1,17,BAL,C.J. Mosley,LB,22
1,18,NYJ,Calvin Pryor,DB,22
1,19,MIA,Ja'Wuan James,T,22
1,20,NOR,Brandin Cooks,WR,20
1,21,GNB,Ha Ha Clinton-Dix,DB,21
1,22,CLE,Johnny Manziel,QB,21
1,23,KAN,Dee Ford,LB,23
1,24,CIN,Darqueze Dennard,DB,22
1,25,SDG,Jason Verrett,DB,23
1,26,PHI,Marcus Smith,LB,22
1,27,ARI,Deone Bucannon,DB,22
1,28,CAR,Kelvin Benjamin,WR,23
1,29,NWE,Dominique Easley,DT,22
1,30,SFO,Jimmie Ward,DB,23
1,31,DEN,Bradley Roby,DB,22
1,32,MIN,Teddy Bridgewater,QB,21
2,33,HOU,Xavier Su'a-Filo,G,23
2,34,DAL,DeMarcus Lawrence,DE,22
2,35,CLE,Joel Bitonio,G,22
2,36,OAK,Derek Carr,QB,23
2,37,ATL,Ra'Shede Hageman,DT,24
2,38,TAM,Austin Seferian-Jenkins,TE,21
2,39,JAX,Marqise Lee,WR,22
2,40,DET,Kyle Van Noy,LB,23
2,41,STL,Lamarcus Joyner,DB,23
2,42,PHI,Jordan Matthews,WR,22
2,43,NYG,Weston Richburg,OL,23
2,44,BUF,Cyrus Kouandjio,T,21
2,45,SEA,Paul Richardson,WR,22
2,46,PIT,Stephon Tuitt,DE,21
2,47,WAS,Trent Murphy,LB,23
2,48,BAL,Timmy Jernigan,DT,21
2,49,NYJ,Jace Amaro,TE,22
2,50,SDG,Jeremiah Attaochu,LB,21
2,51,CHI,Ego Ferguson,DT,22
2,52,ARI,Troy Niklas,TE,21
2,53,GNB,Davante Adams,WR,21
2,54,TEN,Bishop Sankey,RB,21
2,55,CIN,Jeremy Hill,RB,21
2,56,DEN,Cody Latimer,WR,21
2,57,SFO,Carlos Hyde,RB,23
2,58,NOR,Stanley Jean-Baptiste,DB,24
2,59,IND,Jack Mewhort,T,23
2,60,CAR,Kony Ealy,DE,22
2,61,JAX,Allen Robinson,WR,21
2,62,NWE,Jimmy Garoppolo,QB,22
2,63,MIA,Jarvis Landry,WR,21
2,64,SEA,Justin Britt,T,23
3,65,HOU,C.J. Fiedorowicz,TE,22
3,66,WAS,Morgan Moses,OL,23
3,67,MIA,Billy Turner,T,22
3,68,ATL,Dezmen Southward,DB,23
3,69,TAM,Charles Sims,RB,23
3,70,SFO,Marcus Martin,C,20
3,71,CLE,Christian Kirksey,LB,22
3,72,MIN,Scott Crichton,DE,22
3,73,BUF,Preston Brown,LB,21
3,74,NYG,Jay Bromley,DT,22
3,75,STL,Tre Mason,RB,21
3,76,DET,Travis Swanson,C,23
3,77,SFO,Chris Borland,LB,23
3,78,WAS,Spencer Long,G,23
3,79,BAL,Terrence Brooks,DB,22
3,80,NYJ,Dexter McDougle,DB,23
3,81,OAK,Gabe Jackson,G,23
3,82,CHI,Will Sutton,DT,22
3,83,HOU,Louis Nix,DT,23
3,84,ARI,Kareem Martin,DE,22
3,85,GNB,Khyri Thornton,DT,24
3,86,PHI,Josh Huff,WR,22
3,87,KAN,Phillip Gaines,DB,23
3,88,CIN,Will Clarke,DE,23
3,89,SDG,Chris Watt,G,24
3,90,IND,Donte Moncrief,WR,21
3,91,ARI,John Brown,WR,24
3,92,CAR,Trai Turner,OL,21
3,93,JAX,Brandon Linder,OL,22
3,94,CLE,Terrance West,RB,23
3,95,DEN,Michael Schofield,OL,23
3,96,MIN,Jerick McKinnon,RB,22
3,97,PIT,Dri Archer,WR,23
3,98,GNB,Richard Rodgers,TE,22
3,99,BAL,Crockett Gillmore,TE,22
3,100,SFO,Brandon Thomas,OL,23
4,101,PHI,Jaylen Watkins,DB,22
4,102,WAS,Bashaud Breeland,DB,22
4,103,ATL,Devonta Freeman,RB,22
4,104,NYJ,Jalen Saunders,WR,21
4,105,NWE,Bryan Stork,C,23
4,106,SFO,Bruce Ellington,WR,23
4,107,OAK,Justin Ellis,DT,23
4,108,SEA,Cassius Marsh,DE,22
4,109,BUF,Ross Cockrell,DB,23
4,110,STL,Maurice Alexander,DB,23
4,111,CIN,Russell Bodine,C,22
4,112,TEN,DaQuan Jones,DT,22
4,113,NYG,Andre Williams,RB,22
4,114,JAX,Aaron Colvin,DB,22
4,115,NYJ,Shaquelle Evans,WR,23
4,116,OAK,Keith McGill,DB,25
4,117,CHI,Ka'Deem Carey,RB,21
4,118,PIT,Martavis Bryant,WR,22
4,119,DAL,Anthony Hitchens,LB,22
4,120,ARI,Logan Thomas,QB,23
4,121,GNB,Carl Bradford,LB,22
4,122,TEN,Marqueston Huff,DB,22
4,123,SEA,Kevin Norwood,WR,24
4,124,KAN,De'Anthony Thomas,RB,21
4,125,MIA,Walt Aikens,DB,23
4,126,NOR,Khairi Fortt,LB,22
4,127,CLE,Pierre Desir,DB,23
4,128,CAR,Tre Boston,DB,22
4,129,SFO,Dontae Johnson,DB,22
4,130,NWE,James White,RB,22
4,131,CHI,Brock Vereen,DB,22
4,132,SEA,Kevin Pierre-Louis,LB,22
4,133,DET,Nevin Lawson,DB,23
4,134,BAL,Brent Urban,DT,23
4,135,HOU,Tom Savage,QB,24
4,136,DET,Larry Webster,DE,24
4,137,NYJ,Dakota Dozier,OL,23
4,138,BAL,Lorenzo Taliaferro,RB,22
4,139,ATL,Prince Shembo,LB,22
4,140,NWE,Cameron Fleming,T,22
5,141,PHI,Taylor Hart,DE,23
5,142,WAS,Ryan Grant,WR,23
5,143,TAM,Kadeem Edwards,OL,23
5,144,JAX,Telvin Smith,LB,23
5,145,MIN,David Yankey,OL,22
5,146,DAL,Devin Street,WR,23
5,147,ATL,Ricardo Allen,DB,22
5,148,CAR,Bene Benwikere,DB,23
5,149,TAM,Kevin Pamphile,T,23
5,150,SFO,Aaron Lynch,DE,21
5,151,TEN,Avery Williamson,LB,22
5,152,NYG,Nat Berhe,DB,23
5,153,BUF,Cyril Richardson,G,23
