season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2001,ARI,591,591,337,19,0,46,17,3715,6.285956006768189,0.13649851632047477,0.5702199661590525,0.028764805414551606
2001,ATL,571,571,331,37,0,55,18,4041,7.077057793345009,0.1661631419939577,0.5796847635726795,0.03152364273204904
2001,BAL,680,680,348,50,0,42,18,3462,5.091176470588235,0.1206896551724138,0.5117647058823529,0.026470588235294117
2001,BUF,502,502,284,34,0,48,11,3265,6.50398406374502,0.16901408450704225,0.5657370517928287,0.021912350597609563
2001,CAR,561,561,306,26,0,49,24,3791,6.757575757575758,0.16013071895424835,0.5454545454545454,0.0427807486631016
2001,CHI,699,699,381,50,0,45,21,3974,5.6852646638054365,0.11811023622047244,0.5450643776824035,0.030042918454935622
2001,CIN,574,574,311,48,0,49,13,3270,5.6968641114982574,0.15755627009646303,0.5418118466898955,0.02264808362369338
2001,CLE,602,602,309,43,0,36,33,3129,5.1976744186046515,0.11650485436893204,0.5132890365448505,0.054817275747508304
2001,DAL,537,537,287,24,0,34,9,3021,5.625698324022347,0.11846689895470383,0.5344506517690876,0.01675977653631285
2001,DEN,564,564,308,39,0,43,22,3356,5.950354609929078,0.1396103896103896,0.5460992907801419,0.03900709219858156
2001,DET,561,561,312,31,0,50,16,3705,6.60427807486631,0.16025641025641027,0.5561497326203209,0.0285204991087344
2001,GB,715,715,381,56,0,46,22,3646,5.0993006993006995,0.12073490813648294,0.5328671328671328,0.03076923076923077
2001,IND,562,562,311,40,0,48,15,3665,6.5213523131672595,0.15434083601286175,0.5533807829181495,0.026690391459074734
2001,JAX,605,605,354,43,0,41,12,3559,5.8826446280991735,0.11581920903954802,0.5851239669421487,0.019834710743801654
2001,KC,536,536,296,31,0,48,13,3249,6.061567164179104,0.16216216216216217,0.5522388059701493,0.024253731343283583
2001,LA,725,725,374,52,0,46,28,3862,5.326896551724138,0.12299465240641712,0.5158620689655172,0.038620689655172416
2001,LAC,590,590,317,41,0,44,19,3487,5.910169491525424,0.138801261829653,0.5372881355932203,0.03220338983050847
2001,LV,700,700,348,44,0,51,18,3816,5.451428571428571,0.14655172413793102,0.49714285714285716,0.025714285714285714
2001,MIA,536,536,274,38,0,36,17,3076,5.7388059701492535,0.13138686131386862,0.5111940298507462,0.03171641791044776
2001,MIN,531,531,291,30,0,52,8,3507,6.604519774011299,0.17869415807560138,0.5480225988700564,0.015065913370998116
2001,NE,743,743,368,48,0,58,27,4502,6.05921938088829,0.15760869565217392,0.4952893674293405,0.03633916554508748
2001,NO,523,523,278,53,0,61,15,3435,6.567877629063098,0.21942446043165467,0.5315487571701721,0.028680688336520075
2001,NYG,581,581,298,46,0,57,15,3519,6.056798623063683,0.1912751677852349,0.5129087779690189,0.025817555938037865
2001,NYJ,602,602,336,34,0,39,20,3482,5.78405315614618,0.11607142857142858,0.5581395348837209,0.03322259136212625
2001,PHI,682,682,343,49,0,43,21,3479,5.10117302052786,0.12536443148688048,0.5029325513196481,0.030791788856304986
2001,PIT,677,677,335,62,0,44,19,3366,4.971935007385524,0.13134328358208955,0.4948301329394387,0.028064992614475627
2001,SEA,620,620,339,38,0,43,14,3660,5.903225806451613,0.12684365781710916,0.5467741935483871,0.02258064516129032
2001,SF,639,639,354,33,0,46,25,3712,5.809076682316119,0.12994350282485875,0.5539906103286385,0.03912363067292645
2001,TB,591,591,289,45,0,47,29,3348,5.66497461928934,0.16262975778546712,0.4890016920473773,0.049069373942470386
2001,TEN,605,605,328,32,0,63,13,4176,6.9024793388429755,0.19207317073170732,0.5421487603305785,0.021487603305785124
2001,WAS,514,514,262,25,0,42,23,3120,6.070038910505836,0.16030534351145037,0.5097276264591439,0.04474708171206226
