season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2005,ARI,527,527,302,37,0,38,15,3091,5.8652751423149905,0.12582781456953643,0.573055028462998,0.028462998102466792
2005,ATL,561,561,320,37,0,28,16,3137,5.591800356506239,0.0875,0.5704099821746881,0.0285204991087344
2005,BAL,563,563,296,42,0,35,12,2963,5.262877442273535,0.11824324324324324,0.5257548845470693,0.021314387211367674
2005,BUF,538,538,314,38,0,48,17,3291,6.117100371747212,0.15286624203821655,0.5836431226765799,0.031598513011152414
2005,CAR,669,669,352,51,0,38,27,3531,5.278026905829597,0.10795454545454546,0.5261584454409567,0.04035874439461883
2005,CHI,623,623,337,41,0,35,25,3183,5.109149277688603,0.10385756676557864,0.5409309791332263,0.04012841091492777
2005,CIN,566,566,338,30,0,44,31,3767,6.65547703180212,0.1301775147928994,0.5971731448763251,0.054770318021201414
2005,CLE,492,492,279,25,0,37,15,2854,5.800813008130081,0.13261648745519714,0.5670731707317073,0.03048780487804878
2005,DAL,531,531,271,37,0,41,15,3083,5.8060263653484,0.15129151291512916,0.5103578154425612,0.02824858757062147
2005,DEN,708,708,385,31,0,49,22,4249,6.001412429378531,0.12727272727272726,0.5437853107344632,0.031073446327683617
2005,DET,517,517,295,31,0,35,19,3118,6.0309477756286265,0.11864406779661017,0.5705996131528046,0.0367504835589942
2005,GB,466,466,252,36,0,36,10,2678,5.746781115879829,0.14285714285714285,0.5407725321888412,0.02145922746781116
2005,HOU,505,505,304,37,0,49,7,3521,6.972277227722772,0.1611842105263158,0.601980198019802,0.013861386138613862
2005,IND,579,579,357,47,0,38,19,3344,5.775474956822107,0.10644257703081232,0.616580310880829,0.03281519861830743
2005,JAX,559,559,300,50,0,39,20,3138,5.613595706618963,0.13,0.5366726296958855,0.03577817531305903
2005,KC,590,590,325,28,0,46,16,3682,6.240677966101695,0.14153846153846153,0.5508474576271186,0.02711864406779661
2005,LA,547,547,314,41,0,47,13,3426,6.263254113345521,0.14968152866242038,0.5740402193784278,0.02376599634369287
2005,LAC,611,611,338,46,0,46,10,3599,5.890343698854337,0.13609467455621302,0.5531914893617021,0.016366612111292964
2005,LV,522,522,296,36,0,38,5,3248,6.222222222222222,0.12837837837837837,0.5670498084291188,0.009578544061302681
2005,MIA,596,596,323,49,0,42,14,3307,5.548657718120805,0.13003095975232198,0.5419463087248322,0.02348993288590604
2005,MIN,566,566,319,33,0,36,24,3335,5.892226148409894,0.11285266457680251,0.5636042402826855,0.04240282685512368
2005,NE,635,635,332,40,0,60,13,4103,6.461417322834646,0.18072289156626506,0.5228346456692914,0.02047244094488189
2005,NO,444,444,241,26,0,48,10,2848,6.414414414414415,0.1991701244813278,0.5427927927927928,0.02252252252252252
2005,NYG,643,643,343,45,0,57,17,3696,5.74805598755832,0.1661807580174927,0.5334370139968896,0.026438569206842923
2005,NYJ,491,491,284,31,0,33,21,2750,5.6008146639511205,0.11619718309859155,0.5784114052953157,0.04276985743380855
2005,PHI,531,531,297,29,0,38,17,3323,6.2580037664783426,0.12794612794612795,0.559322033898305,0.032015065913371
2005,PIT,768,768,406,62,0,55,20,4130,5.377604166666667,0.1354679802955665,0.5286458333333334,0.026041666666666668
2005,SEA,720,720,378,54,0,55,21,4127,5.731944444444444,0.1455026455026455,0.525,0.029166666666666667
2005,SF,607,607,374,28,0,61,16,4429,7.296540362438221,0.16310160427807488,0.6161449752883031,0.026359143327841845
2005,TB,527,527,283,37,0,41,18,2963,5.622390891840607,0.14487632508833923,0.5370018975332068,0.03415559772296015
2005,TEN,512,512,296,41,0,43,9,3220,6.2890625,0.14527027027027026,0.578125,0.017578125
2005,WAS,635,635,332,38,0,50,18,3466,5.458267716535433,0.15060240963855423,0.5228346456692914,0.028346456692913385
