season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2021,ARI,649,649,381,42,0,48,13,4082,6.289676425269645,0.12598425196850394,0.5870570107858244,0.020030816640986132
2021,ATL,630,630,391,18,0,51,12,4221,6.7,0.13043478260869565,0.6206349206349207,0.01904761904761905
2021,BAL,673,673,397,34,0,74,9,4824,7.167904903417534,0.18639798488664988,0.5898959881129272,0.01337295690936107
2021,BUF,703,703,354,47,0,39,21,3677,5.230440967283073,0.11016949152542373,0.5035561877667141,0.029871977240398292
2021,CAR,572,572,337,39,0,46,9,3420,5.979020979020979,0.13649851632047477,0.5891608391608392,0.015734265734265736
2021,CHI,544,544,314,49,0,48,8,3403,6.255514705882353,0.15286624203821655,0.5772058823529411,0.014705882352941176
2021,CIN,868,868,516,52,0,77,21,5459,6.289170506912442,0.14922480620155038,0.5944700460829493,0.024193548387096774
2021,CLE,643,643,367,43,0,45,13,3602,5.6018662519440126,0.1226158038147139,0.5707620528771384,0.02021772939346812
2021,DAL,712,712,380,41,0,63,27,4419,6.206460674157303,0.16578947368421051,0.5337078651685393,0.037921348314606744
2021,DEN,632,632,341,36,0,48,13,3919,6.200949367088608,0.14076246334310852,0.5395569620253164,0.020569620253164556
2021,DET,607,607,359,30,0,56,11,4422,7.28500823723229,0.15598885793871867,0.5914332784184514,0.018121911037891267
2021,GB,709,709,390,43,0,45,19,4212,5.940761636107193,0.11538461538461539,0.5500705218617772,0.02679830747531735
2021,HOU,600,600,363,32,0,55,17,4221,7.035,0.15151515151515152,0.605,0.028333333333333332
2021,IND,666,666,390,33,0,43,19,4224,6.342342342342342,0.11025641025641025,0.5855855855855856,0.028528528528528527
2021,JAX,603,603,377,32,0,55,7,4178,6.928689883913765,0.14588859416445624,0.6252072968490879,0.011608623548922056
2021,KC,808,808,480,36,0,60,16,5315,6.577970297029703,0.125,0.594059405940594,0.019801980198019802
2021,LA,869,869,504,62,0,63,23,5240,6.0299194476409665,0.125,0.5799769850402762,0.026467203682393557
2021,LAC,626,626,357,35,0,53,11,3987,6.3690095846645365,0.1484593837535014,0.5702875399361023,0.01757188498402556
2021,LV,712,712,424,37,0,46,6,4241,5.956460674157303,0.10849056603773585,0.5955056179775281,0.008426966292134831
2021,MIA,671,671,373,48,0,62,14,4012,5.979135618479881,0.16621983914209115,0.555886736214605,0.020864381520119227
2021,MIN,713,713,401,51,0,56,16,4556,6.389901823281908,0.1396508728179551,0.5624123422159888,0.02244039270687237
2021,NE,631,631,340,36,0,43,23,3752,5.946117274167987,0.1264705882352941,0.5388272583201268,0.03645007923930269
2021,NO,672,672,369,46,0,56,18,4022,5.9851190476190474,0.15176151761517614,0.5491071428571429,0.026785714285714284
2021,NYG,666,666,402,34,0,42,15,3967,5.956456456456457,0.1044776119402985,0.6036036036036037,0.02252252252252252
2021,NYJ,645,645,401,33,0,73,7,4664,7.231007751937985,0.18204488778054864,0.6217054263565891,0.010852713178294573
2021,PHI,687,687,438,33,0,40,12,4155,6.048034934497816,0.091324200913242,0.6375545851528385,0.017467248908296942
2021,PIT,697,697,386,58,0,53,14,4350,6.24103299856528,0.13730569948186527,0.5538020086083214,0.020086083213773313
2021,SEA,721,721,443,34,0,49,11,4724,6.552011095700416,0.11060948081264109,0.6144244105409153,0.015256588072122053
2021,SF,759,759,447,60,0,64,11,4601,6.061923583662714,0.14317673378076062,0.5889328063241107,0.014492753623188406
2021,TB,852,852,496,51,0,64,19,4888,5.737089201877934,0.12903225806451613,0.5821596244131455,0.022300469483568074
2021,TEN,752,752,423,52,0,65,17,4627,6.152925531914893,0.1536643026004728,0.5625,0.022606382978723406
2021,WAS,668,668,400,38,0,51,11,4634,6.937125748502994,0.1275,0.5988023952095808,0.016467065868263474
