season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2014,ARI,677,677,383,36,0,65,19,4655,6.875923190546529,0.16971279373368145,0.5657311669128509,0.028064992614475627
2014,ATL,607,607,359,22,0,56,16,4670,7.693574958813839,0.15598885793871867,0.5914332784184514,0.026359143327841845
2014,BAL,772,772,449,56,0,61,14,4828,6.253886010362694,0.1358574610244989,0.5816062176165803,0.018134715025906734
2014,BUF,638,638,337,54,0,36,19,3480,5.454545454545454,0.10682492581602374,0.5282131661442007,0.029780564263322883
2014,CAR,676,676,395,46,0,53,16,4144,6.1301775147929,0.1341772151898734,0.584319526627219,0.023668639053254437
2014,CHI,607,607,366,39,0,65,14,4368,7.196046128500824,0.17759562841530055,0.6029654036243822,0.023064250411861616
2014,CIN,694,694,396,21,0,52,20,4432,6.3861671469740635,0.13131313131313133,0.5706051873198847,0.02881844380403458
2014,CLE,637,637,335,31,0,55,21,3746,5.880690737833595,0.16417910447761194,0.5259026687598116,0.03296703296703297
2014,DAL,688,688,423,33,0,52,19,4718,6.857558139534884,0.12293144208037825,0.6148255813953488,0.027616279069767442
2014,DEN,755,755,426,41,0,45,20,4058,5.3748344370860925,0.1056338028169014,0.5642384105960265,0.026490066225165563
2014,DET,685,685,402,48,0,50,20,4049,5.910948905109489,0.12437810945273632,0.5868613138686132,0.029197080291970802
2014,GB,697,697,363,50,0,57,22,4213,6.044476327116213,0.15702479338842976,0.5208034433285509,0.03156384505021521
2014,HOU,678,678,363,38,0,50,20,4039,5.957227138643068,0.13774104683195593,0.5353982300884956,0.029498525073746312
2014,IND,725,725,387,47,0,61,13,4417,6.092413793103448,0.15762273901808785,0.5337931034482759,0.01793103448275862
2014,JAX,600,600,355,45,0,60,6,4011,6.685,0.16901408450704225,0.5916666666666667,0.01
2014,KC,615,615,318,46,0,41,6,3385,5.504065040650406,0.1289308176100629,0.5170731707317073,0.00975609756097561
2014,LA,598,598,368,40,0,44,13,4041,6.75752508361204,0.11956521739130435,0.6153846153846154,0.021739130434782608
2014,LAC,579,579,320,26,0,47,7,3726,6.435233160621761,0.146875,0.5526770293609672,0.012089810017271158
2014,LV,579,579,343,22,0,59,9,3955,6.8307426597582035,0.17201166180758018,0.5924006908462867,0.015544041450777202
2014,MIA,604,604,338,39,0,47,14,3733,6.180463576158941,0.1390532544378698,0.5596026490066225,0.023178807947019868
2014,MIN,594,594,353,41,0,44,13,3746,6.306397306397306,0.12464589235127478,0.5942760942760943,0.021885521885521887
2014,NE,748,748,394,43,0,71,21,4686,6.264705882352941,0.1802030456852792,0.5267379679144385,0.02807486631016043
2014,NO,604,604,341,34,0,54,12,4230,7.003311258278146,0.15835777126099707,0.5645695364238411,0.019867549668874173
2014,NYG,596,596,324,47,0,62,17,4050,6.795302013422819,0.19135802469135801,0.5436241610738255,0.028523489932885907
2014,NYJ,594,594,345,45,0,45,6,3848,6.478114478114478,0.13043478260869565,0.5808080808080808,0.010101010101010102
2014,PHI,668,668,345,49,0,72,12,4453,6.666167664670659,0.20869565217391303,0.5164670658682635,0.017964071856287425
2014,PIT,629,629,368,34,0,54,11,4469,7.104928457869635,0.14673913043478262,0.5850556438791733,0.017488076311605722
2014,SEA,689,689,392,41,0,40,19,3811,5.531204644412192,0.10204081632653061,0.5689404934687954,0.027576197387518143
2014,SF,601,601,324,36,0,49,23,3660,6.0898502495840265,0.15123456790123457,0.5391014975041597,0.03826955074875208
2014,TB,610,610,387,36,0,48,14,4155,6.811475409836065,0.12403100775193798,0.6344262295081967,0.022950819672131147
2014,TEN,604,604,347,39,0,47,12,3929,6.504966887417218,0.13544668587896252,0.5745033112582781,0.019867549668874173
2014,WAS,583,583,345,36,0,56,7,4175,7.161234991423671,0.16231884057971013,0.5917667238421955,0.012006861063464836
