season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2015,ARI,718,718,386,38,0,62,21,4499,6.266016713091922,0.16062176165803108,0.5376044568245125,0.02924791086350975
2015,ATL,601,601,370,19,0,50,15,4041,6.723793677204659,0.13513513513513514,0.6156405990016639,0.024958402662229616
2015,BAL,611,611,350,37,0,51,6,3882,6.353518821603928,0.1457142857142857,0.5728314238952537,0.009819967266775777
2015,BUF,641,641,347,21,0,59,17,4115,6.41965678627145,0.17002881844380405,0.5413416536661466,0.026521060842433698
2015,CAR,851,851,457,57,0,61,31,4647,5.460634547591069,0.13347921225382933,0.5370152761457109,0.036427732079905996
2015,CHI,582,582,322,35,0,52,8,3893,6.689003436426117,0.16149068322981366,0.5532646048109966,0.013745704467353952
2015,CIN,750,750,435,46,0,43,22,4331,5.774666666666667,0.09885057471264368,0.58,0.029333333333333333
2015,CLE,561,561,322,29,0,52,11,4150,7.397504456327986,0.16149068322981366,0.5739750445632799,0.0196078431372549
2015,DAL,558,558,330,31,0,54,8,3788,6.788530465949821,0.16363636363636364,0.5913978494623656,0.014336917562724014
2015,DEN,799,799,413,66,0,56,17,4220,5.281602002503129,0.13559322033898305,0.5168961201501877,0.02127659574468085
2015,DET,595,595,360,43,0,59,9,4013,6.74453781512605,0.1638888888888889,0.6050420168067226,0.015126050420168067
2015,GB,724,724,375,52,0,55,18,4515,6.236187845303867,0.14666666666666667,0.5179558011049724,0.024861878453038673
2015,HOU,644,644,343,48,0,50,15,3668,5.695652173913044,0.1457725947521866,0.532608695652174,0.023291925465838508
2015,IND,639,639,354,35,0,64,17,4308,6.741784037558685,0.1807909604519774,0.5539906103286385,0.026604068857589983
2015,JAX,655,655,390,36,0,54,9,4481,6.841221374045801,0.13846153846153847,0.5954198473282443,0.013740458015267175
2015,KC,769,769,392,50,0,49,26,4347,5.652795838751626,0.125,0.5097529258777633,0.033810143042912875
2015,LA,668,668,399,41,0,51,13,4270,6.392215568862276,0.12781954887218044,0.5973053892215568,0.019461077844311378
2015,LAC,563,563,328,32,0,54,11,3944,7.005328596802842,0.16463414634146342,0.5825932504440497,0.019538188277087035
2015,LV,706,706,404,38,0,56,14,4343,6.151558073654391,0.13861386138613863,0.5722379603399433,0.019830028328611898
2015,MIA,587,587,350,31,0,53,13,4121,7.0204429301533215,0.15142857142857144,0.596252129471891,0.022146507666098807
2015,MIN,656,656,372,45,0,49,14,4041,6.160060975609756,0.13172043010752688,0.5670731707317073,0.021341463414634148
2015,NE,760,760,407,53,0,61,12,4472,5.88421052631579,0.14987714987714987,0.5355263157894737,0.015789473684210527
2015,NO,600,600,372,31,0,64,9,4676,7.793333333333333,0.17204301075268819,0.62,0.015
2015,NYG,678,678,423,23,0,62,15,4917,7.252212389380531,0.14657210401891252,0.6238938053097345,0.022123893805309734
2015,NYJ,666,666,343,39,0,59,18,3927,5.896396396396397,0.17201166180758018,0.515015015015015,0.02702702702702703
2015,PHI,689,689,394,37,0,55,15,4419,6.413642960812772,0.13959390862944163,0.5718432510885341,0.02177068214804064
2015,PIT,778,778,446,52,0,56,18,4879,6.27120822622108,0.12556053811659193,0.5732647814910026,0.02313624678663239
2015,SEA,662,662,366,41,0,51,14,3795,5.732628398791541,0.13934426229508196,0.552870090634441,0.021148036253776436
2015,SF,604,604,375,28,0,58,9,4342,7.188741721854305,0.15466666666666667,0.6208609271523179,0.014900662251655629
2015,TB,584,584,378,38,0,45,11,3899,6.676369863013699,0.11904761904761904,0.6472602739726028,0.018835616438356163
2015,TEN,567,567,319,39,0,47,11,3865,6.8165784832451495,0.14733542319749215,0.562610229276896,0.019400352733686066
2015,WAS,661,661,375,39,0,60,11,4492,6.795763993948563,0.16,0.56732223903177,0.01664145234493192
