season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2024,ARI,618,618,370,41,0,46,9,3952,6.394822006472492,0.12432432432432433,0.598705501618123,0.014563106796116505
2024,ATL,653,653,404,31,0,44,12,4204,6.437978560490046,0.10891089108910891,0.6186830015313936,0.018376722817764167
2024,BAL,771,771,432,59,0,65,12,4717,6.118028534370946,0.15046296296296297,0.5603112840466926,0.01556420233463035
2024,BUF,734,734,446,45,0,53,17,4772,6.501362397820164,0.11883408071748879,0.6076294277929155,0.02316076294277929
2024,CAR,595,595,360,32,0,51,9,4099,6.889075630252101,0.14166666666666666,0.6050420168067226,0.015126050420168067
2024,CHI,569,569,325,40,0,57,11,3879,6.817223198594025,0.1753846153846154,0.5711775043936731,0.019332161687170474
2024,CIN,651,651,372,36,0,48,15,4119,6.3271889400921655,0.12903225806451613,0.5714285714285714,0.02304147465437788
2024,CLE,579,579,316,41,0,56,4,3924,6.77720207253886,0.17721518987341772,0.5457685664939551,0.0069084628670120895
2024,DAL,598,598,349,52,0,47,13,4042,6.759197324414716,0.1346704871060172,0.5836120401337793,0.021739130434782608
2024,DEN,738,738,413,65,0,51,15,4323,5.857723577235772,0.1234866828087167,0.559620596205962,0.02032520325203252
2024,DET,725,725,395,37,0,67,16,4797,6.616551724137931,0.16962025316455695,0.5448275862068965,0.022068965517241378
2024,GB,670,670,394,47,0,50,17,4025,6.007462686567164,0.12690355329949238,0.5880597014925373,0.025373134328358207
2024,HOU,705,705,356,56,0,53,23,4129,5.856737588652482,0.14887640449438203,0.5049645390070922,0.032624113475177303
2024,IND,614,614,378,36,0,47,16,4139,6.741042345276873,0.12433862433862433,0.6156351791530945,0.026058631921824105
2024,JAX,662,662,389,34,0,71,6,4740,7.16012084592145,0.18251928020565553,0.5876132930513596,0.00906344410876133
2024,KC,765,765,433,51,0,64,14,4834,6.318954248366013,0.14780600461893764,0.5660130718954248,0.018300653594771243
2024,LA,694,694,394,54,0,61,14,4343,6.25792507204611,0.1548223350253807,0.5677233429394812,0.020172910662824207
2024,LAC,691,691,389,49,0,51,16,4173,6.0390738060781475,0.13110539845758354,0.5629522431259045,0.023154848046309694
2024,LV,624,624,370,38,0,47,10,3895,6.24198717948718,0.12702702702702703,0.592948717948718,0.016025641025641024
2024,MIA,626,626,365,35,0,42,10,3728,5.955271565495208,0.11506849315068493,0.5830670926517572,0.01597444089456869
2024,MIN,743,743,434,51,0,55,24,4465,6.009421265141319,0.12672811059907835,0.5841184387617766,0.03230148048452221
2024,NE,593,593,346,28,0,45,7,3778,6.370994940978077,0.13005780346820808,0.5834738617200674,0.011804384485666104
2024,NO,677,677,366,39,0,56,14,4448,6.570162481536189,0.15300546448087432,0.5406203840472673,0.0206794682422452
2024,NYG,578,578,349,45,0,49,5,3911,6.76643598615917,0.14040114613180515,0.6038062283737025,0.00865051903114187
2024,NYJ,599,599,327,43,0,49,7,3547,5.921535893155259,0.14984709480122324,0.5459098497495827,0.011686143572621035
2024,PHI,812,812,434,57,0,50,19,4277,5.267241379310345,0.1152073732718894,0.5344827586206896,0.023399014778325122
2024,PIT,667,667,398,41,0,51,17,4133,6.19640179910045,0.12814070351758794,0.5967016491754122,0.025487256371814093
2024,SEA,646,646,371,45,0,48,13,3800,5.882352941176471,0.1293800539083558,0.5743034055727554,0.020123839009287926
2024,SF,571,571,338,37,0,39,11,3455,6.050788091068301,0.11538461538461539,0.5919439579684763,0.01926444833625219
2024,TB,750,750,442,47,0,58,7,4734,6.312,0.13122171945701358,0.5893333333333334,0.009333333333333334
2024,TEN,546,546,314,32,0,42,11,3317,6.075091575091575,0.1337579617834395,0.575091575091575,0.020146520146520148
2024,WAS,675,675,367,48,0,59,11,4171,6.1792592592592595,0.16076294277929154,0.5437037037037037,0.016296296296296295
