season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2023,ARI,571,571,347,33,0,49,11,3872,6.781085814360771,0.14121037463976946,0.6077057793345009,0.01926444833625219
2023,ATL,623,623,340,42,0,49,8,3767,6.046548956661316,0.14411764705882352,0.5457463884430177,0.012841091492776886
2023,BAL,815,815,433,62,0,51,18,3984,4.888343558282209,0.11778290993071594,0.53128834355828225,0.022085889570552148
2023,BUF,714,714,402,55,0,50,19,4101,5.743697478991597,0.12437810945273632,0.5630252100840336,0.02661064425770308
2023,CAR,522,522,309,27,0,39,8,3001,5.74904214559387,0.1262135922330097,0.5919540229885057,0.01532567049808429
2023,CHI,680,680,410,30,0,48,22,4233,6.225,0.11707317073170732,0.6029411764705882,0.03235294117647059
2023,CIN,647,647,364,44,0,65,17,4502,6.958268933539412,0.17857142857142858,0.5625965996908809,0.02627511591962906
2023,CLE,637,637,324,49,0,44,18,3264,5.124018838304552,0.13580246913580246,0.5086342229199372,0.0282574568288854
2023,DAL,612,612,324,46,0,53,17,3684,6.019607843137255,0.16358024691358025,0.5294117647058824,0.027777777777777776
2023,DEN,642,642,382,42,0,56,11,4159,6.478193146417445,0.14659685863874344,0.5950155763239875,0.017133956386292833
2023,DET,784,784,442,49,0,87,19,5433,6.92984693877551,0.19683257918552036,0.5637755102040817,0.02423469387755102
2023,GB,725,725,406,50,0,62,9,4546,6.270344827586207,0.15270935960591134,0.56,0.012413793103448275
2023,HOU,733,733,432,53,0,63,16,4670,6.371077762619373,0.14583333333333334,0.5893587994542974,0.021828103683492497
2023,IND,643,643,370,51,0,54,15,4082,6.348367029548989,0.14594594594594595,0.5754276827371695,0.02332814930015552
2023,JAX,693,693,404,40,0,47,16,4314,6.225108225108225,0.11633663366336634,0.5829725829725829,0.023088023088023088
2023,KC,824,824,430,64,0,47,10,4278,5.191747572815534,0.10930232558139535,0.5218446601941747,0.012135922330097087
2023,LA,711,711,389,44,0,61,10,4479,6.29957805907173,0.15681233933161953,0.5471167369901547,0.014064697609001406
2023,LAC,670,670,389,48,0,61,9,4416,6.591044776119403,0.15681233933161953,0.5805970149253732,0.013432835820895522
2023,LV,651,651,376,46,0,43,13,3907,6.001536098310292,0.11436170212765957,0.5775729646697388,0.019969278033794162
2023,MIA,698,698,403,56,0,62,15,4310,6.174785100286533,0.15384615384615385,0.5773638968481375,0.02148997134670487
2023,MIN,673,673,426,43,0,51,11,4156,6.175334323922734,0.11971830985915492,0.6329866270430906,0.01634472511144131
2023,NE,640,640,370,36,0,48,10,3714,5.803125,0.12972972972972974,0.578125,0.015625
2023,NO,637,637,333,34,0,48,18,3889,6.1051805337519625,0.14414414414414414,0.5227629513343799,0.0282574568288854
2023,NYG,633,633,371,34,0,43,18,4064,6.420221169036335,0.11590296495956873,0.5860979462875198,0.02843601895734597
2023,NYJ,600,600,313,48,0,39,17,3111,5.185,0.12460063897763578,0.5216666666666666,0.028333333333333332
2023,PHI,775,775,447,47,0,62,9,4881,6.298064516129032,0.13870246085011187,0.5767741935483871,0.011612903225806452
2023,PIT,685,685,369,49,0,66,16,4349,6.348905109489051,0.17886178861788618,0.5386861313868613,0.02335766423357664
2023,SEA,661,661,390,47,0,57,11,4237,6.409984871406959,0.14615384615384616,0.5900151285930408,0.01664145234493192
2023,SF,841,841,490,53,0,55,25,4684,5.569560047562426,0.11224489795918367,0.582639714625446,0.029726516052318668
2023,TB,769,769,459,53,0,70,13,4916,6.392717815344604,0.15250544662309368,0.5968790637191157,0.016905071521456438
2023,TEN,648,648,387,45,0,52,6,4011,6.189814814814815,0.1343669250645995,0.5972222222222222,0.009259259259259259
2023,WAS,662,662,396,39,0,60,8,4674,7.0604229607250755,0.15151515151515152,0.5981873111782477,0.012084592145015106
