season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2009,ARI,733,733,397,48,0,61,22,4488,6.1227830832196455,0.15365239294710328,0.5416098226466576,0.030013642564802184
2009,ATL,587,587,336,28,0,55,15,4081,6.952299829642249,0.1636904761904762,0.5724020442930153,0.02555366269165247
2009,BAL,663,663,359,37,0,50,26,3803,5.73604826546003,0.1392757660167131,0.5414781297134238,0.0392156862745098
2009,BUF,570,570,295,34,0,34,28,3048,5.347368421052631,0.1152542372881356,0.5175438596491229,0.04912280701754386
2009,CAR,545,545,305,31,0,37,22,3212,5.893577981651376,0.12131147540983607,0.5596330275229358,0.04036697247706422
2009,CHI,577,577,341,34,0,41,13,3471,6.015597920277297,0.12023460410557185,0.5909878682842288,0.022530329289428077
2009,CIN,600,600,330,34,0,43,19,3494,5.823333333333333,0.1303030303030303,0.55,0.03166666666666667
2009,CLE,584,584,313,40,0,62,10,4131,7.073630136986301,0.19808306709265175,0.535958904109589,0.017123287671232876
2009,DAL,697,697,379,49,0,54,12,4219,6.053084648493543,0.1424802110817942,0.5437589670014347,0.01721664275466284
2009,DEN,560,560,298,39,0,40,17,3072,5.485714285714286,0.1342281879194631,0.5321428571428571,0.030357142857142857
2009,DET,578,578,372,26,0,54,9,4314,7.463667820069205,0.14516129032258066,0.643598615916955,0.015570934256055362
2009,GB,622,622,323,38,0,53,30,3682,5.919614147909968,0.16408668730650156,0.5192926045016077,0.04823151125401929
2009,HOU,591,591,344,28,0,39,14,3590,6.074450084602369,0.11337209302325581,0.5820642978003384,0.023688663282571912
2009,IND,733,733,442,36,0,34,19,4266,5.8199181446111865,0.07692307692307693,0.6030013642564802,0.02592087312414734
2009,JAX,542,542,345,14,0,48,15,3864,7.129151291512915,0.1391304347826087,0.6365313653136532,0.027675276752767528
2009,KC,549,549,302,23,0,44,15,3819,6.956284153005464,0.1456953642384106,0.5500910746812386,0.0273224043715847
2009,LA,528,528,315,25,0,56,8,3885,7.357954545454546,0.17777777777777778,0.5965909090909091,0.015151515151515152
2009,LAC,604,604,338,35,0,36,15,3523,5.832781456953643,0.10650887573964497,0.5596026490066225,0.024834437086092714
2009,LV,490,490,259,37,0,56,8,3410,6.959183673469388,0.21621621621621623,0.5285714285714286,0.0163265306122449
2009,MIA,554,554,281,43,0,57,15,3913,7.063176895306859,0.20284697508896798,0.5072202166064982,0.02707581227436823
2009,MIN,675,675,380,54,0,55,12,3958,5.863703703703703,0.14473684210526316,0.562962962962963,0.017777777777777778
2009,NE,559,559,304,31,0,42,19,3438,6.150268336314848,0.13815789473684212,0.5438282647584973,0.03398926654740608
2009,NO,748,748,413,37,0,58,30,4762,6.366310160427807,0.14043583535108958,0.5521390374331551,0.040106951871657755
2009,NYG,550,550,314,33,0,51,13,3574,6.498181818181818,0.1624203821656051,0.5709090909090909,0.023636363636363636
2009,NYJ,675,675,330,39,0,40,20,3340,4.948148148148148,0.12121212121212122,0.4888888888888889,0.02962962962962963
2009,PHI,677,677,377,46,0,48,25,3834,5.663220088626293,0.1273209549071618,0.5568685376661743,0.03692762186115214
2009,PIT,608,608,320,46,0,46,12,3544,5.828947368421052,0.14375,0.5263157894736842,0.019736842105263157
2009,SEA,604,604,374,28,0,47,13,3981,6.591059602649007,0.12566844919786097,0.6192052980132451,0.02152317880794702
2009,SF,635,635,352,44,0,47,18,3764,5.9275590551181105,0.13352272727272727,0.5543307086614173,0.028346456692913385
2009,TB,524,524,301,28,0,36,19,3481,6.643129770992366,0.11960132890365449,0.5744274809160306,0.03625954198473282
2009,TEN,647,647,403,32,0,61,20,4219,6.520865533230293,0.1513647642679901,0.6228748068006182,0.030911901081916538
2009,WAS,570,570,315,40,0,41,11,3437,6.029824561403509,0.13015873015873017,0.5526315789473685,0.01929824561403509
