season,defteam,dropbacks,attempts,completions,sacks,scrambles,explosive_comps,interceptions,net_yards_sum,net_yards_per_db_allowed,explosive_pass_rate_allowed,completion_pct_allowed,int_rate_allowed
2022,ARI,654,654,414,36,0,40,11,4126,6.308868501529052,0.0966183574879227,0.6330275229357798,0.016819571865443424
2022,ATL,601,601,372,21,0,53,10,4061,6.757071547420965,0.1424731182795699,0.6189683860232945,0.016638935108153077
2022,BAL,708,708,417,52,0,50,14,4326,6.110169491525424,0.11990407673860912,0.5889830508474576,0.01977401129943503
2022,BUF,730,730,403,45,0,53,19,4095,5.609589041095891,0.1315136476426799,0.552054794520548,0.026027397260273973
2022,CAR,638,638,383,35,0,51,10,4007,6.280564263322884,0.13315926892950392,0.6003134796238244,0.01567398119122257
2022,CHI,533,533,323,20,0,50,14,3919,7.352720450281426,0.15479876160990713,0.6060037523452158,0.02626641651031895
2022,CIN,732,732,400,36,0,63,15,4574,6.248633879781421,0.1575,0.546448087431694,0.020491803278688523
2022,CLE,569,569,315,34,0,50,11,3418,6.007029876977153,0.15873015873015872,0.5536028119507909,0.019332161687170474
2022,DAL,734,734,399,58,0,48,17,4184,5.700272479564033,0.12030075187969924,0.5435967302452316,0.02316076294277929
2022,DEN,667,667,392,36,0,46,15,3741,5.608695652173913,0.11734693877551021,0.5877061469265368,0.022488755622188907
2022,DET,646,646,353,39,0,60,12,4560,7.0588235294117645,0.16997167138810199,0.5464396284829721,0.018575851393188854
2022,GB,535,535,314,34,0,45,17,3570,6.672897196261682,0.14331210191082802,0.5869158878504673,0.03177570093457944
2022,HOU,590,590,336,39,0,51,16,3782,6.410169491525424,0.15178571428571427,0.5694915254237288,0.02711864406779661
2022,IND,615,615,365,44,0,48,10,3771,6.131707317073171,0.13150684931506848,0.5934959349593496,0.016260162601626018
2022,JAX,761,761,437,38,0,58,14,4822,6.336399474375821,0.13272311212814644,0.5742444152431012,0.018396846254927726
2022,KC,848,848,485,64,0,56,14,4839,5.706367924528302,0.1154639175257732,0.5719339622641509,0.01650943396226415
2022,LA,618,618,375,38,0,44,16,4028,6.517799352750809,0.11733333333333333,0.6067961165048543,0.025889967637540454
2022,LAC,622,622,338,42,0,57,18,3857,6.20096463022508,0.16863905325443787,0.5434083601286174,0.028938906752411574
2022,LV,644,644,399,27,0,58,6,4360,6.770186335403727,0.14536340852130325,0.6195652173913043,0.009316770186335404
2022,MIA,744,744,439,47,0,54,10,4617,6.205645161290323,0.12300683371298406,0.5900537634408602,0.013440860215053764
2022,MIN,739,739,432,41,0,65,15,5149,6.967523680649526,0.15046296296296297,0.584573748308525,0.02029769959404601
2022,NE,678,678,364,54,0,54,19,3861,5.6946902654867255,0.14835164835164835,0.5368731563421829,0.028023598820058997
2022,NO,611,611,322,48,0,34,7,3358,5.495908346972176,0.10559006211180125,0.5270049099836334,0.011456628477905073
2022,NYG,701,701,397,42,0,53,6,4259,6.075606276747504,0.13350125944584382,0.5663338088445078,0.008559201141226819
2022,NYJ,632,632,347,45,0,38,12,3456,5.468354430379747,0.10951008645533142,0.5490506329113924,0.0189873417721519
2022,PHI,744,744,397,78,0,43,18,3799,5.106182795698925,0.10831234256926953,0.5336021505376344,0.024193548387096774
2022,PIT,616,616,332,40,0,55,20,4035,6.550324675324675,0.16566265060240964,0.538961038961039,0.032467532467532464
2022,SEA,658,658,361,46,0,59,14,4164,6.328267477203648,0.1634349030470914,0.5486322188449848,0.02127659574468085
2022,SF,774,774,452,49,0,53,23,4566,5.89922480620155,0.1172566371681416,0.5839793281653747,0.029715762273901807
2022,TB,678,678,389,46,0,50,10,3963,5.845132743362832,0.12853470437017994,0.5737463126843658,0.014749262536873156
2022,TEN,742,742,439,39,0,63,14,4882,6.579514824797844,0.14350797266514806,0.5916442048517521,0.018867924528301886
2022,WAS,590,590,308,43,0,45,9,3480,5.898305084745763,0.1461038961038961,0.5220338983050847,0.015254237288135594
